County,Romney,Obama,Johnson,Terry,Stein,Write-in,Amdt1yes,Amdt1no
Adair,"5,841","1,660",43,33,23,0,"5,750",605
Allen,"5,184","1,808",59,28,20,1,"5,432",540
Anderson,"6,822","3,315",97,49,35,2,"7,883","1,084"
Ballard,"2,647","1,189",23,29,7,0,"3,183",281
Barren,"10,922","5,400",123,70,50,3,"12,211","1,905"
Bath,"2,275","1,770",32,26,19,0,"2,782",349
Bell,"7,127","2,224",61,47,23,0,"6,774",864
Boone,"35,922","15,629",669,143,135,13,"38,558","7,777"
Bourbon,"4,692","3,075",62,41,39,14,"5,895",968
Boyd,"10,884","7,776",183,133,65,8,"14,200","1,996"
Boyle,"7,703","4,471",113,41,40,5,"8,974","1,783"
Bracken,"2,029","1,147",24,21,9,2,"2,272",319
Breathitt,"3,318","1,562",59,47,22,0,"3,804",421
Breckinridge,"5,025","2,825",50,42,25,2,"5,919",783
Bullitt,"21,306","9,971",307,114,77,4,"24,536","3,476"
Butler,"3,716","1,293",30,13,6,2,"3,882",377
Caldwell,"3,904","1,852",46,38,20,0,"4,625",523
Calloway,"9,440","5,317",186,55,71,3,"11,351","1,672"
Campbell,"24,240","15,080",547,139,167,4,"29,212","7,917"
Carlisle,"1,835",750,11,15,8,0,"2,138",198
Carroll,"1,999","1,629",27,11,14,0,"2,764",398
Carter,"5,279","3,383",115,84,45,2,"5,609",691
Casey,"4,904","1,086",56,22,23,0,"4,680",528
Christian,"13,475","8,252",124,58,44,2,"16,549","2,373"
Clark,"9,931","5,228",144,61,46,6,"11,347","2,056"
Clay,"6,176","1,111",42,34,20,0,"5,739",496
Clinton,"3,569",752,29,26,17,0,"3,333",310
Crittenden,"2,839",960,25,14,16,0,"3,185",238
Cumberland,"2,216",599,28,5,5,1,"2,061",178
Daviess,"25,092","16,208",440,207,132,8,"32,037","5,059"
Edmonson,"3,232","1,374",30,14,14,4,"3,350",494
Elliott,"1,126","1,186",35,36,16,0,"1,807",152
Estill,"3,749","1,356",37,20,22,0,"3,570",447
Fayette,"60,795","62,080","1,824",321,805,41,"79,013","25,098"
Fleming,"3,780","1,911",34,37,20,0,"4,052",520
Floyd,"9,784","4,733",210,117,46,0,"11,615","1,173"
Franklin,"11,345","11,535",226,117,114,0,"16,324","4,157"
Fulton,"1,425","1,022",17,5,12,0,"1,897",201
Gallatin,"1,758","1,238",27,22,15,1,"2,229",363
Garrard,"5,310","1,661",66,26,14,0,"5,466",666
Grant,"5,664","2,810",64,40,28,2,"6,476",844
Graves,"10,699","4,547",121,87,39,10,"11,817","1,352"
Grayson,"6,404","2,744",58,40,23,2,"6,360",809
Green,"3,634","1,165",25,14,18,0,"3,779",357
Greenup,"8,855","6,027",115,110,52,9,"11,221","1,517"
Hancock,"2,212","1,833",44,31,13,1,"3,308",369
Hardin,"23,357","15,214",339,163,139,6,"29,494","5,195"
Harlan,"8,652","1,830",81,64,30,0,"7,974",840
Harrison,"4,556","2,471",58,44,34,0,"5,273",675
Hart,"4,257","2,283",40,26,16,0,"4,782",622
Henderson,"10,296","8,091",119,59,49,8,"14,216","2,288"
Henry,"3,940","2,530",56,27,32,5,"5,020",637
Hickman,"1,431",686,7,13,2,0,"1,646",197
Hopkins,"13,681","5,789",167,69,59,2,"14,838","2,303"
Jackson,"4,365",612,48,21,15,0,"3,789",490
Jefferson,"148,423","186,181","2,895",739,"1,288",53,"223,991","59,661"
Jessamine,"14,233","6,001",260,64,63,12,"14,790","3,232"
Johnson,"7,095","1,723",124,53,40,0,"7,074",715
Kenton,"41,389","24,920",921,215,240,19,"47,851","11,005"
Knott,"4,130","1,420",79,52,12,0,"4,365",447
Knox,"8,467","2,484",73,42,34,0,"7,989",902
Larue,"3,911","1,733",67,37,16,0,"4,411",553
Laurel,"18,151","3,905",207,91,54,0,"17,161","2,436"
Lawrence,"3,995","1,520",41,25,11,0,"4,028",587
Lee,"1,977",595,20,17,14,0,"2,032",220
Leslie,"4,439",433,34,30,14,0,"4,016",298
Letcher,"6,811","1,702",137,77,31,0,"6,811",634
Lewis,"3,326","1,342",44,35,22,0,"3,398",319
Lincoln,"6,416","2,582",89,33,32,0,"7,298",905
Livingston,"3,089","1,346",37,24,15,0,"3,553",360
Logan,"6,899","3,469",73,49,19,1,"7,760","1,041"
Lyon,"2,412","1,373",27,16,10,1,"2,984",284
Madison,"21,128","11,512",370,131,176,5,"25,208","4,718"
Magoffin,"3,391","1,433",26,47,9,0,"3,923",326
Marion,"3,800","3,418",37,34,27,2,"5,524",718
Marshall,"10,402","5,022",148,92,50,5,"12,323","1,331"
Martin,"3,180",574,34,24,12,0,"2,978",318
Mason,"4,197","2,592",38,34,18,2,"5,014",835
McCracken,"19,979","10,062",281,122,96,11,"23,885","4,107"
McCreary,"4,564","1,069",30,24,17,3,"4,389",523
McLean,"2,705","1,432",36,18,9,0,"3,296",347
Meade,"6,606","4,122",78,61,48,1,"8,306","1,068"
Menifee,"1,484","1,048",22,32,12,0,"2,048",182
Mercer,"6,820","2,966",86,35,29,3,"7,486",941
Metcalfe,"2,676","1,425",27,33,23,0,"3,042",421
Monroe,"3,762",936,23,16,9,0,"3,339",311
Montgomery,"6,398","3,701",84,41,24,0,"7,857","1,162"
Morgan,"3,021","1,369",28,46,8,0,"3,321",364
Muhlenberg,"7,762","4,771",86,73,45,2,"9,356","1,159"
Nelson,"10,673","7,611",124,86,38,1,"14,390","2,134"
Nicholas,"1,583",948,27,16,6,1,"1,676",247
Ohio,"6,470","2,987",107,56,26,0,"7,709",833
Oldham,"20,179","9,240",299,57,98,11,"22,009","4,507"
Owen,"2,971","1,501",47,30,6,2,"3,348",427
Owsley,"1,279",283,8,6,4,0,"1,116",94
Pendleton,"3,556","1,859",58,37,24,0,"4,222",547
Perry,"8,040","2,047",80,44,29,1,"7,698",845
Pike,"17,590","5,646",221,131,46,2,"18,271","1,950"
Powell,"2,766","1,620",43,36,16,0,"3,509",363
Pulaski,"20,714","4,976",168,94,51,0,"19,613","2,668"
Robertson,579,340,5,5,6,0,669,94
