County,Obama,Uncommitted_D,Romney,Paul,Santorum,Gingrich,Uncommitted_R
Adair,148,103,833,121,79,86,75
Allen,180,175,683,151,106,74,77
Anderson,703,854,520,138,93,71,67
Ballard,162,281,72,11,8,7,8
Barren,"1,168","1,334","1,009",226,157,114,101
Bath,714,725,83,23,10,8,11
Bell,240,200,614,77,68,65,31
Boone,992,770,"5,985","1,235",741,366,412
Bourbon,626,693,288,57,33,30,19
Boyd,"1,566","1,183","1,180",220,164,101,147
Boyle,456,345,431,95,66,28,25
Bracken,145,222,134,24,30,14,10
Breathitt,737,"1,289",51,31,7,9,2
Breckinridge,202,166,314,77,64,33,22
Bullitt,"1,379","1,532","1,152",224,191,118,58
Butler,70,40,257,66,42,32,40
Caldwell,240,400,138,27,17,19,15
Calloway,479,479,360,71,56,29,18
Campbell,"1,440",926,"3,734",744,457,266,251
Carlisle,90,172,41,9,13,4,2
Carroll,258,216,83,29,22,10,8
Carter,444,429,339,86,57,44,39
Casey,76,51,760,141,81,44,50
Christian,781,952,509,94,50,37,44
Clark,480,478,589,115,73,62,35
Clay,86,82,"1,505",325,164,128,184
Clinton,71,89,"1,440",351,190,205,155
Crittenden,136,221,591,78,124,75,96
Cumberland,35,23,526,122,73,57,65
Daviess,"2,760","2,221","1,557",298,203,124,177
Edmonson,142,50,447,58,39,46,38
Elliott,265,387,13,1,0,0,2
Estill,143,166,773,133,94,77,70
Fayette,"8,049","2,518","7,156","1,466","1,002",579,530
Fleming,213,254,258,31,43,24,21
Floyd,558,972,156,33,15,16,8
Franklin,"5,033","3,501","1,267",325,207,117,182
Fulton,137,144,51,8,5,6,5
Gallatin,228,213,134,45,15,15,12
Garrard,141,137,"1,162",268,200,117,173
Grant,531,727,603,142,100,55,35
Graves,"1,165","2,190",552,80,121,54,46
Grayson,239,163,632,139,95,54,51
Green,109,128,679,129,108,76,75
Greenup,"1,650","1,300","1,073",175,167,104,121
Hancock,127,94,118,23,22,11,6
Hardin,"1,689","1,361","1,353",256,219,145,93
Harlan,705,"1,986",581,114,89,68,57
Harrison,725,754,319,72,57,30,29
Hart,350,359,194,46,35,31,19
Henderson,"1,936","1,763",448,93,76,47,61
Henry,798,914,428,97,77,50,50
Hickman,314,565,56,7,14,13,6
Hopkins,818,"1,013",320,79,54,29,22
Jackson,34,37,"1,440",249,214,161,167
Jefferson,"40,700","9,237","18,792","2,984","1,927","1,249","1,314"
Jessamine,580,644,"1,222",307,254,104,78
Johnson,269,467,"1,904",262,195,174,203
Kenton,"2,358","1,479","7,191","1,399",811,536,508
Knott,366,"1,006",53,15,6,11,10
Knox,170,120,705,108,94,67,32
Larue,246,310,132,49,30,12,12
Laurel,234,144,"1,772",282,228,174,103
Lawrence,275,306,542,63,59,52,75
Lee,45,65,184,24,26,25,17
Leslie,15,21,470,68,33,38,22
Letcher,489,"1,070",357,75,26,29,33
Lewis,121,97,928,239,138,141,138
Lincoln,247,241,750,123,95,62,42
Livingston,118,214,80,16,13,8,8
Logan,268,426,401,103,70,41,27
Lyon,645,825,157,25,19,10,14
Madison,"2,459","2,374","2,330",387,338,235,214
Magoffin,769,860,191,23,28,23,20
Marion,322,268,73,31,14,12,7
Marshall,"1,489","2,350",530,102,88,52,50
Martin,50,91,551,72,56,43,50
Mason,347,427,391,54,58,41,51
McCracken,"2,118","1,820","1,495",212,171,108,141
McCreary,62,75,653,78,75,66,53
McLean,180,226,108,14,11,12,10
Meade,367,259,365,86,47,32,18
Menifee,308,305,58,25,16,9,11
Mercer,376,479,323,91,52,36,20
Metcalfe,273,266,398,106,87,33,56
Monroe,43,38,"1,262",260,162,150,204
Montgomery,686,838,358,59,62,32,19
Morgan,381,543,59,14,7,8,5
Muhlenberg,"1,534","1,727",343,65,49,23,38
Nelson,678,626,621,206,100,61,30
Nicholas,594,698,67,26,12,2,8
Ohio,269,181,382,72,61,41,26
Oldham,"1,058",645,"3,880",567,549,321,300
Owen,371,532,265,57,44,34,22
Owsley,33,28,164,28,17,34,14
Pendleton,324,325,284,67,51,28,13
Perry,624,"1,316",479,70,39,46,36
Pike,"1,391","2,620",662,107,70,50,39
Powell,171,248,119,28,19,13,6
Pulaski,420,377,"4,309",575,484,487,372
Robertson,175,260,33,9,2,1,0
Rockcastle,80,88,"1,531",332,230,155,203
Rowan,692,473,252,36,34,23,31
Russell,146,159,"1,915",413,272,228,271
Scott,"1,031",751,"1,134",282,199,108,83
Shelby,"1,346",878,"1,663",279,269,154,119
Simpson,193,245,187,30,27,15,17
Spencer,646,781,662,178,121,68,56
Taylor,257,222,578,90,82,62,42
Todd,88,214,76,16,16,8,7
Trigg,215,302,227,44,40,17,15
Trimble,382,570,122,32,30,13,7
Union,854,"1,611",96,21,21,8,8
Warren,"2,300","1,856","1,697",418,302,169,127
Washington,612,779,163,53,24,19,14
Wayne,221,178,"1,429",236,170,129,169
Webster,478,646,63,21,15,10,9
Whitley,256,223,"2,728",494,367,265,548
Wolfe,136,147,36,7,4,2,1
Woodford,"1,379",981,678,124,106,75,38
