County,McConnell,Grimes,Patterson,Write-in
Adair,"4,900","2,023",239,0
Allen,"4,410","1,875",279,0
Anderson,"5,164","3,158",481,1
Ballard,"2,249","1,223",119,0
Barren,"8,268","5,091",601,2
Bath,"1,777","1,890",168,0
Bell,"5,757","2,206",288,0
Boone,"23,191","9,779","1,225",7
Bourbon,"3,494","2,907",243,0
Boyd,"7,264","6,841",533,0
Boyle,"5,437","3,892",288,0
Bracken,"1,575",898,99,0
Breathitt,"2,430","2,062",163,0
Breckinridge,"4,120","2,830",261,0
Bullitt,"14,717","8,847",761,1
Butler,"2,873","1,085",119,0
Caldwell,"3,089","1,743",198,1
Calloway,"7,263","4,676",450,1
Campbell,"17,607","10,971","1,117",2
Carlisle,"1,386",777,49,0
Carroll,"1,683","1,649",120,0
Carter,"4,479","3,748",363,1
Casey,"3,699","1,174",168,0
Christian,"9,317","5,516",445,11
Clark,"7,131","4,882",433,1
Clay,"4,597","1,325",205,0
Clinton,"3,156",838,134,0
Crittenden,"2,283",953,127,0
Cumberland,"2,079",778,124,0
Daviess,"18,228","13,433","1,002",35
Edmonson,"2,731","1,370",130,0
Elliott,898,"1,153",82,1
Estill,"2,881","1,588",192,0
Fayette,"44,073","50,332","2,482",13
Fleming,"2,863","1,920",148,0
Floyd,"6,914","5,734",430,1
Franklin,"8,329","10,534",842,1
Fulton,"1,087",804,62,0
Gallatin,"1,530","1,028",92,0
Garrard,"3,764","1,562",177,1
Grant,"4,126","1,938",274,0
Graves,"8,365","4,359",389,3
Grayson,"5,048","2,553",287,0
Green,"3,198","1,454",155,0
Greenup,"6,077","5,378",365,0
Hancock,"1,882","1,707",134,0
Hardin,"17,551","11,975","1,011",2
Harlan,"6,451","2,199",316,0
Harrison,"3,228","2,243",326,2
Hart,"3,296","2,248",227,0
Henderson,"7,119","6,479",355,0
Henry,"3,281","2,382",211,1
Hickman,"1,156",707,63,0
Hopkins,"10,405","5,087",473,0
Jackson,"3,555",856,154,0
Jefferson,"108,786","144,761","4,987",13
Jessamine,"10,822","5,567",699,15
Johnson,"5,608","2,152",326,0
Kenton,"28,297","16,661","1,575",9
Knott,"2,578","1,661",103,0
Knox,"6,977","2,951",283,0
Larue,"2,966","1,608",167,0
Laurel,"12,613","3,997",470,2
Lawrence,"3,128","1,842",198,0
Lee,"1,729",799,97,0
Leslie,"3,513",684,96,0
Letcher,"4,787","2,495",261,0
Lewis,"2,383",951,95,0
Lincoln,"4,565","2,590",276,0
Livingston,"2,374","1,389",132,0
Logan,"4,719","2,706",239,1
Lyon,"2,096","1,425",117,0
Madison,"15,472","10,407",961,2
Magoffin,"3,662","2,523",155,0
Marion,"2,498","3,267",140,0
Marshall,"7,886","4,977",443,0
Martin,"3,077",925,138,0
Mason,"3,279","2,192",149,0
McCracken,"15,043","8,262",558,1
McCreary,"3,508","1,275",218,0
McLean,"2,217","1,457",115,0
Meade,"5,123","3,793",313,1
Menifee,"1,183","1,291",103,0
Mercer,"4,901","2,602",414,0
Metcalfe,"2,294","1,550",188,0
Monroe,"3,472","1,021",189,0
Montgomery,"4,711","3,837",336,0
Morgan,"2,230","1,817",177,0
Muhlenberg,"5,192","4,249",253,0
Nelson,"7,663","6,883",417,1
Nicholas,"1,005","1,147",93,0
Ohio,"5,460","3,236",289,0
Oldham,"15,049","7,746",578,1
Owen,"2,495","1,383",180,0
Owsley,"1,458",574,83,0
Pendleton,"2,715","1,304",231,0
Perry,"6,179","3,098",337,0
Pike,"11,840","6,531",508,1
Powell,"2,156","2,022",218,0
Pulaski,"15,610","5,263",719,2
Robertson,459,314,21,0
Rockcastle,"3,803","1,122",172,0
Rowan,"3,453","3,667",271,0
Russell,"4,779","1,685",279,0
Scott,"9,371","6,767",706,0
Shelby,"9,220","5,525",405,0
Simpson,"2,738","1,887",151,0
Spencer,"4,766","2,445",253,0
Taylor,"6,119","3,271",281,1
Todd,"2,368","1,180",148,0
Trigg,"3,328","1,765",173,0
Trimble,"1,678","1,282",85,0
Union,"3,171","1,824",135,0
Warren,"19,460","12,671","1,039",0
Washington,"2,655","1,775",145,0
Wayne,"4,229","2,340",308,0
Webster,"2,854","1,512",134,0
Whitley,"6,879","2,485",293,5
Wolfe,"1,134","1,180",74,0
Woodford,"5,573","4,470",364,0
