County,Grimes,Leichty,Farnsley,Recktenwald,McConnell,Bevin,Sterling,Payne,Copas
Adair,899,92,79,46,"1,932","1,914",66,64,27
Allen,770,95,95,60,"1,951","1,242",81,38,93
Anderson,"2,696",331,218,247,909,706,51,18,29
Ballard,"1,258",228,308,220,234,97,6,4,4
Barren,"3,889",455,342,263,"1,720","1,410",35,19,62
Bath,"2,369",235,124,117,153,95,8,4,1
Bell,"1,302",210,338,178,"2,625",688,113,64,23
Boone,"2,403",228,131,313,"5,624","5,513",183,151,72
Bourbon,"2,173",264,167,142,485,327,16,9,3
Boyd,"3,571",310,293,388,"1,486","1,019",82,79,14
Boyle,"1,960",239,132,148,955,580,18,13,6
Bracken,901,136,83,191,147,118,8,9,1
Breathitt,"2,817",427,551,421,138,77,7,3,2
Breckinridge,"1,499",198,129,109,"1,304",843,43,42,18
Bullitt,"3,644",402,509,484,"2,966","2,145",75,49,39
Butler,257,22,25,8,"1,647","1,076",90,21,35
Caldwell,"1,311",201,265,183,366,164,14,5,6
Calloway,"3,335",434,445,404,"1,235",519,31,16,15
Campbell,"3,422",361,231,443,"4,476","3,359",205,162,56
Carlisle,751,135,161,109,138,64,1,2,0
Carroll,"1,663",285,140,315,136,106,12,3,2
Carter,"2,256",296,374,175,"1,355",531,79,65,30
Casey,247,28,14,13,"2,109","1,704",67,42,34
Christian,"3,314",363,519,350,"1,442",821,50,28,21
Clark,"3,542",410,242,220,"1,213",828,31,23,13
Clay,300,27,38,22,"3,494","1,747",142,99,40
Clinton,308,49,49,29,"2,184",865,130,106,55
Crittenden,598,90,80,71,854,360,24,6,3
Cumberland,104,15,18,6,"1,147","1,073",69,46,44
Daviess,"5,728",787,517,468,"3,428","1,942",71,67,32
Edmonson,468,33,21,21,"1,751",883,57,37,42
Elliott,"1,043",152,249,173,52,14,1,2,0
Estill,820,74,35,50,"1,123",535,25,28,9
Fayette,"21,298","1,451",617,866,"10,637","6,764",282,160,103
Fleming,"1,890",233,84,123,561,279,9,10,8
Floyd,"7,345","1,026","1,178","1,596",652,206,36,34,9
Franklin,"9,469",830,622,549,"1,454","1,216",55,52,32
Fulton,649,97,127,87,117,46,6,5,1
Gallatin,792,164,105,246,204,152,13,6,4
Garrard,611,48,32,33,"1,694","1,117",53,37,18
Grant,"1,472",259,139,207,685,676,44,37,15
Graves,"3,797",568,687,663,"1,102",544,31,24,17
Grayson,753,86,55,70,"2,830","1,754",136,94,65
Green,486,49,38,25,"1,152",625,36,32,23
Greenup,"2,504",276,180,353,"1,135",820,46,48,11
Hancock,917,180,77,69,293,207,10,12,7
Hardin,"6,045",684,588,406,"3,773","2,614",120,72,43
Harlan,"2,570",543,692,480,"1,450",347,49,60,31
Harrison,"2,512",302,190,270,504,425,32,18,9
Hart,"1,728",229,160,128,562,316,7,8,10
Henderson,"3,152",333,438,309,674,509,19,13,5
Henry,"1,605",185,147,198,482,416,16,7,2
Hickman,675,153,148,113,112,51,3,1,0
Hopkins,"3,191",420,614,445,"1,121",458,38,24,11
Jackson,148,13,14,10,"2,772","1,173",99,97,46
Jefferson,"50,967","2,288","3,751","3,307","28,202","12,849",522,406,192
Jessamine,"3,261",354,223,294,"2,239","2,135",49,21,15
Johnson,"1,118",127,152,189,"2,237",859,104,93,24
Kenton,"4,949",433,264,571,"6,967","5,837",290,225,85
Knott,"2,555",397,476,459,119,50,7,5,0
Knox,"1,133",123,162,99,"4,148","1,874",219,122,57
Larue,"2,059",342,243,176,528,368,21,11,7
Laurel,"1,203",72,87,79,"6,673","3,394",195,189,90
Lawrence,"1,077",165,183,152,916,449,50,56,15
Lee,340,36,36,34,944,375,49,32,8
Leslie,124,13,20,12,"2,401",563,118,88,30
