County,Bevin,Conway,Curtis,Write-in,Grimes,Knipper,Beshear,Westerfield,Harmon,Edelen,Ball,Nelson,Quarles,Spann
Adair,"2,727","1,268",116,0,"1,529","2,486","1,375","2,608","2,611","1,271","2,882","1,064","3,028",903
Allen,"2,344",977,76,0,"1,194","2,166","1,046","2,286","2,350",910,"2,483",844,"2,513",781
Anderson,"3,724","2,635",370,0,"3,300","3,363","2,975","3,655","3,318","3,218","4,234","2,331","4,362","2,188"
Ballard,"1,312",990,75,0,"1,143","1,211","1,170","1,190","1,262","1,038","1,408",924,"1,530",797
Barren,"5,289","3,568",358,2,"4,324","4,757","4,142","4,821","4,991","3,588","5,940","2,866","5,690","3,194"
Bath,"1,045","1,117",78,0,"1,345",856,"1,217",973,948,"1,217","1,135","1,016","1,133","1,036"
Bell,"2,425","1,556",157,0,"1,703","2,251","1,722","2,181","2,311","1,375","1,027","3,168","2,569","1,168"
Boone,"15,842","7,418",822,0,"8,010","15,891","9,096","14,617","16,548","6,628","17,383","6,064","16,736","6,481"
Bourbon,"2,202","2,510",145,0,"2,928","1,910","2,652","2,129","1,997","2,701","2,947","1,793","2,855","1,887"
Boyd,"4,747","4,154",281,0,"4,983","4,123","4,980","4,028","4,527","4,293","4,774","4,113","4,727","4,024"
Boyle,"3,968","2,948",336,0,"3,771","3,403","3,422","3,696","4,274","2,913","4,520","2,521","4,410","2,551"
Bracken,854,680,54,0,735,843,802,764,838,703,883,667,900,651
Breathitt,"1,313","1,208",115,0,"1,518","1,078","1,399","1,184",982,"1,530","1,248","1,291","1,223","1,285"
Breckinridge,"2,648","1,858",158,0,"2,282","2,358","2,167","2,409","2,403","2,108","2,866","1,669","2,791","1,710"
Bullitt,"9,856","6,492",686,4,"7,699","9,253","7,665","9,108","9,312","7,206","10,937","5,634","10,346","6,079"
Butler,"1,786",807,63,0,949,"1,695",895,"1,719","1,866",682,"1,990",610,"2,002",582
Caldwell,"1,838","1,180",99,0,"1,435","1,659","1,378","1,689","1,677","1,298","1,881","1,142","2,027",967
Calloway,"4,742","3,558",254,0,"4,095","4,390","4,159","4,288","4,582","3,545","5,254","3,027","5,405","2,854"
Campbell,"10,671","8,258",779,1,"8,518","11,012","9,561","9,759","11,492","7,313","12,186","6,912","11,447","7,390"
Carlisle,899,561,22,0,658,815,642,822,824,607,904,542,951,488
Carroll,867,923,70,0,"1,126",724,"1,026",792,759,"1,043",924,895,855,954
Carter,"2,405","1,954",126,0,"2,264","2,162","2,222","2,174","2,295","2,042","2,345","2,016","2,456","1,868"
Casey,"2,836",649,91,2,"1,042","2,491",797,"2,745","2,620",879,"2,912",580,"2,940",554
Christian,"4,830","3,446",211,0,"3,808","4,615","2,709","5,786","4,925","3,292","5,221","3,064","5,308","2,917"
