County,Conway,Young,Bevin,Comer,Heiner,Scott,Grimes,Lovett,Westerfield,Hogan,Nelson,Blakemore,Henderson,Glenn,Grossberg,Ball,Larson,Imes,Quarles,Heath
Adair,379,60,334,"1,033",299,91,341,91,789,607,133,99,60,51,29,809,291,307,722,752
Allen,307,71,283,771,107,42,286,94,517,514,95,83,87,63,21,558,266,207,471,607
Anderson,"1,421",554,403,614,274,107,"1,318",680,749,476,530,432,310,294,223,582,504,153,789,474
Ballard,435,133,68,107,16,7,305,265,65,95,166,122,102,83,63,50,37,74,49,126
Barren,"1,288",432,445,"1,693",180,52,"1,141",604,"1,040",839,357,341,374,285,133,774,591,461,"1,051",910
Bath,444,119,49,49,32,38,409,154,79,59,107,85,239,61,36,63,64,17,73,78
Bell,560,120,398,277,463,127,477,203,396,656,657,18,23,20,10,438,298,306,485,617
Boone,"1,235",420,"4,014","1,346","1,387",284,"1,292",376,"2,478","3,443",437,249,306,317,175,"3,416","1,462","1,124","3,333","2,562"
Bourbon,"1,064",232,242,253,110,39,919,369,311,256,278,311,243,211,107,260,248,62,350,244
Boyd,"1,000",297,699,208,253,239,"1,047",252,478,754,460,103,294,222,121,574,276,376,581,627
Boyle,914,300,352,582,310,70,871,354,677,403,223,331,230,183,110,494,397,185,644,478
Bracken,265,125,101,53,44,7,252,141,100,79,133,49,101,50,34,90,60,32,111,70
Breathitt,647,203,66,28,29,12,526,319,47,69,248,106,285,88,76,40,38,31,37,80
Breckinridge,615,175,447,342,262,66,601,186,567,419,183,143,151,157,81,472,258,251,518,484
Bullitt,"2,070",675,"1,438",658,"1,207",212,"1,853",888,"1,619","1,403",670,594,579,411,258,"1,399",867,741,"1,525","1,493"
Butler,174,40,287,711,160,69,170,46,716,344,56,30,49,33,18,454,322,282,576,526
Caldwell,629,190,123,194,54,11,460,371,202,130,317,158,119,92,66,122,78,122,142,193
Calloway,"1,284",328,417,490,132,32,"1,061",579,448,443,503,404,198,172,147,114,52,874,268,672
Campbell,"1,627",448,"2,451","1,061",850,194,"1,549",531,"1,764","1,972",553,274,365,407,254,"1,858","1,266",692,"1,905","1,789"
Carlisle,317,94,81,56,15,1,258,158,49,82,137,96,77,47,28,49,30,49,18,131
Carroll,366,141,61,43,28,11,340,171,74,46,164,112,74,58,45,68,28,19,79,41
Carter,618,176,269,163,173,212,613,194,266,463,302,77,173,159,51,321,174,238,270,461
Casey,152,26,418,756,336,76,147,32,741,634,45,59,33,14,19,656,415,268,576,802
Christian,"1,371",452,464,484,250,63,"1,246",612,"1,133",126,523,242,433,330,185,513,250,345,530,588
Clark,"1,346",354,544,456,492,113,"1,283",431,794,615,342,547,342,208,129,677,557,198,780,682
Clay,163,25,416,323,805,161,160,29,929,582,89,20,30,23,15,588,426,428,566,960
Clinton,128,25,106,"1,358",65,28,127,26,784,455,52,30,22,18,16,561,375,237,765,499
Crittenden,281,64,260,274,50,9,251,96,211,295,98,81,64,41,24,194,124,184,220,300
Cumberland,73,11,96,873,29,24,67,16,395,356,17,12,15,22,6,487,119,131,407,368
Daviess,"3,528","1,251","1,597","1,004",698,193,"3,503","1,338","1,813","1,154",450,282,346,"3,597",177,"1,255",868,852,"1,406","1,537"
Edmonson,211,36,157,753,146,30,207,35,506,421,48,53,35,48,20,308,306,288,713,297
Elliott,228,84,12,2,8,5,222,101,9,15,108,20,86,45,21,10,9,5,12,13
Estill,303,91,243,464,260,76,298,97,527,386,72,85,127,47,31,374,433,107,518,429
Fayette,"10,014","2,472","4,557","4,208","4,078","1,374","10,389","2,259","7,359","4,782","2,142","3,026","1,923","2,726","1,317","4,914","6,398","1,313","8,310","4,356"
Fleming,574,213,140,303,109,121,584,215,335,254,192,158,227,106,52,245,258,66,316,282
Floyd,"1,911",495,104,52,112,167,"1,583",782,145,236,"1,417",119,429,179,150,213,89,97,123,267
Franklin,"6,221","1,866",767,"1,126",489,198,"6,004","2,165","1,377",927,"2,266","1,836","1,081","1,316",878,"1,060",881,325,"1,758",639
Fulton,244,66,42,52,7,1,216,99,41,37,72,101,64,40,18,34,15,32,25,62
Gallatin,179,82,111,43,21,16,177,90,70,91,107,30,52,32,26,92,43,32,91,76
Garrard,273,58,331,762,259,106,264,66,742,494,53,95,65,51,29,538,436,256,748,578
Grant,499,231,403,242,151,33,492,247,365,380,212,98,192,121,70,367,198,180,447,308
Graves,"1,572",537,372,671,86,27,"1,205",918,360,584,597,596,399,227,118,315,212,453,104,"1,035"
Grayson,431,91,500,870,461,132,407,120,984,703,84,115,104,136,54,757,489,439,959,783
Green,245,86,155,916,125,37,243,96,561,404,56,59,115,48,27,433,310,202,578,438
Greenup,824,301,584,188,242,158,888,257,430,586,485,84,267,171,78,477,216,306,532,481
Hancock,335,92,194,81,42,11,308,124,150,128,88,41,53,207,18,121,84,69,128,152
Hardin,"2,740","1,013","1,858","1,252","1,237",255,"2,689","1,098","2,226","1,809",817,737,704,771,430,"1,906","1,205",908,"2,206","1,835"
Harlan,"1,736",497,321,235,315,106,"1,272","1,023",312,534,"2,001",58,215,84,47,376,273,211,317,554
Harrison,821,269,203,221,104,35,722,367,291,212,267,268,221,149,91,214,204,79,327,186
Hart,621,219,185,355,101,17,574,268,250,274,214,160,175,136,65,207,170,137,288,258
Henderson,"1,857",528,539,285,128,25,"1,693",723,439,403,294,258,0,"1,021",141,445,227,161,318,515
Henry,702,257,273,189,201,32,649,312,342,273,307,251,141,111,69,331,165,115,371,262
Hickman,278,103,42,88,9,2,228,167,43,73,105,106,70,53,32,41,28,47,25,104
Hopkins,"1,435",486,428,239,179,47,"1,224",747,400,390,610,342,332,337,146,373,229,165,354,420
Jackson,62,10,277,441,477,140,62,8,605,506,20,17,18,4,8,398,337,333,430,709
Jefferson,"30,199","4,899","10,933","4,430","17,807","1,927","29,227","5,803","15,088","14,008","5,299","9,513","5,874","4,908","6,400","15,052","8,155","5,632","14,345","14,095"
Jessamine,"1,302",391,"1,421",797,850,203,"1,184",509,"1,605","1,100",379,426,286,261,142,"1,284","1,031",429,"1,575","1,218"
Johnson,527,146,442,215,521,512,441,227,455,"1,088",333,50,125,76,50,810,310,399,478,"1,058"
Kenton,"2,310",735,"3,861","2,588","1,273",331,"2,411",666,"3,197","3,254",707,460,532,620,379,"3,453","1,756","1,346","3,365","3,056"
Knott,622,254,36,37,36,23,516,369,47,67,499,63,151,90,50,34,29,51,37,79
Knox,444,101,437,881,949,152,413,128,"1,150",961,261,78,98,50,23,868,529,690,775,"1,389"
Larue,586,291,176,228,122,36,521,373,317,193,196,157,174,171,115,220,146,139,307,205
Laurel,554,116,"1,074","2,136","2,575",364,555,115,"3,208","2,112",273,100,129,62,34,"1,979","1,636","1,444","1,907","3,415"
Lawrence,408,105,261,68,202,147,382,141,175,504,211,45,116,80,40,314,132,149,211,372
Lee,161,42,119,201,132,49,137,62,195,255,77,34,49,22,11,141,140,155,146,309
Leslie,55,21,221,352,531,128,55,21,535,495,42,1,21,7,2,446,256,320,400,667
Letcher,750,226,170,164,186,170,613,370,265,327,525,102,174,73,55,226,173,191,199,405
Lewis,138,46,294,385,133,141,150,31,500,294,43,33,49,18,21,480,145,166,477,339
Lincoln,534,142,387,449,355,61,509,168,602,503,196,154,144,84,51,401,423,253,466,673
Livingston,394,161,130,106,16,8,304,242,87,138,147,134,74,107,42,90,61,70,82,152
Logan,656,175,273,173,127,26,588,252,465,101,236,156,147,157,61,234,156,105,270,247
Lyon,517,126,123,147,20,12,423,227,124,139,192,169,98,74,45,108,64,90,83,186
