County,Trump,Cruz,Rubio,Kasich,Carson,Paul,Uncommitted,Bush,Huckabee,Christie,Fiorina,Santorum
Adair,"1,512",631,246,190,14,8,6,7,0,1,0,1
Allen,640,524,161,138,19,7,4,4,8,0,2,1
Anderson,560,592,257,204,36,15,8,1,5,1,2,0
Ballard,94,164,29,25,7,0,0,0,0,0,0,0
Barren,848,800,326,288,33,5,6,1,2,1,1,1
Bath,119,109,23,41,5,2,0,0,0,0,0,0
Bell,692,287,151,125,13,1,2,4,1,0,1,0
Boone,"2,027","2,353",919,"1,428",57,28,16,4,1,2,2,0
Bourbon,253,257,129,147,9,4,2,0,0,0,1,0
Boyd,674,652,213,381,2,2,3,1,0,0,0,0
Boyle,560,480,344,331,16,13,4,7,1,1,0,1
Bracken,73,117,25,47,5,1,0,0,0,0,0,0
Breathitt,52,81,16,6,6,1,2,0,0,0,0,0
Breckinridge,489,411,192,143,25,4,3,6,0,0,0,0
Bullitt,"1,770","1,631",594,357,19,11,7,2,4,0,1,0
Butler,564,339,208,152,24,13,0,4,4,1,1,0
Caldwell,212,196,70,63,13,1,1,2,0,0,0,0
Calloway,438,607,284,264,16,17,2,1,0,0,0,0
Campbell,"1,025","1,145",548,946,25,18,6,2,1,0,1,0
Carlisle,44,124,27,6,0,0,0,0,0,0,0,0
Carroll,88,102,19,28,6,1,0,0,0,0,0,0
Carter,517,393,140,220,16,4,2,1,2,0,0,2
Casey,"1,029",508,175,190,10,2,9,1,3,2,0,0
Christian,632,720,321,185,10,5,8,4,0,0,0,0
Clark,797,725,344,274,33,5,5,2,0,0,0,0
Clay,887,355,146,106,18,2,11,4,2,1,1,0
Clinton,771,365,176,106,6,6,1,4,8,0,0,1
Crittenden,314,272,112,71,10,3,1,2,0,0,0,0
Cumberland,460,246,173,87,12,5,5,3,3,0,1,0
Daviess,"1,191","1,739","1,050",674,26,17,12,2,1,2,0,0
Edmonson,531,210,150,91,7,3,4,3,1,1,0,0
Elliott,17,15,3,4,0,0,0,0,0,0,0,0
Estill,313,159,88,40,35,1,1,11,2,0,1,1
Fayette,"3,727","4,330","3,320","3,266",99,72,27,22,6,5,3,1
Fleming,329,244,81,104,8,4,1,4,2,0,0,0
Floyd,278,147,72,65,3,9,2,0,3,0,1,0
Franklin,582,699,422,331,42,12,1,2,1,1,0,0
Fulton,66,56,14,20,0,1,0,1,0,0,0,0
Gallatin,121,82,25,60,2,0,0,0,0,0,0,0
Garrard,581,457,178,128,10,1,3,7,2,1,0,0
Grant,488,450,127,197,13,4,1,0,2,0,0,0
Graves,407,671,152,105,12,2,2,0,0,0,1,0
Grayson,749,525,358,214,24,11,15,3,0,1,1,0
Green,655,333,204,124,14,4,9,5,0,1,0,0
Greenup,548,550,131,245,4,8,1,2,1,1,0,0
Hancock,139,201,89,64,2,0,1,3,1,0,0,0
Hardin,"1,678","1,616",889,620,55,9,7,6,1,2,2,2
Harlan,189,146,99,4,16,1,0,2,1,0,0,0
Harrison,265,250,96,85,3,3,2,0,0,0,0,0
Hart,355,253,92,60,2,1,1,0,0,0,2,1
Henderson,354,562,174,194,16,5,4,0,1,0,0,0
Henry,305,291,101,65,13,6,0,1,1,0,0,0
Hickman,88,198,24,24,0,0,0,0,0,0,0,0
Hopkins,574,562,301,178,27,8,1,1,3,1,0,2
Jackson,582,356,91,85,10,10,2,3,2,2,0,0
Jefferson,"10,211","9,690","7,960","5,553",200,130,75,30,14,6,13,4
Jessamine,"1,074","1,566",734,587,43,4,2,0,0,0,1,0
Johnson,"1,075",400,230,257,10,5,2,3,6,2,0,0
Kenton,"1,997","2,475","1,095","1,741",45,38,13,9,3,0,4,1
Knott,37,30,12,10,1,0,0,0,0,0,0,0
Knox,"1,285",542,262,220,16,9,4,4,5,0,0,0
