County,Trump,Clinton,Johnson,McMullin,Stein,De La Fuente,Write-in_PRES,Paul,Gray,Write-in_SEN
Adair,"6,637","1,323",141,92,35,3,2,"5,897","2,072",0
Allen,"6,466","1,349",161,63,46,6,5,"5,979","1,940",0
Anderson,"8,242","2,634",319,165,54,6,2,"6,910","4,475",0
Ballard,"3,161",816,77,23,20,4,0,"2,725","1,367",0
Barren,"13,483","4,275",455,167,93,10,5,"10,876","7,460",0
Bath,"3,082","1,361",75,35,24,6,4,"2,324","2,154",0
Bell,"7,764","1,720",144,44,42,4,0,"6,637","2,638",0
Boone,"39,082","15,026","2,299",763,380,20,48,"42,032","15,303",0
Bourbon,"5,569","2,791",283,96,52,4,8,"4,411","4,350",0
Boyd,"13,591","6,021",496,168,167,11,0,"10,730","9,536",0
Boyle,"8,040","4,281",365,169,73,10,8,"6,982","5,937",0
Bracken,"2,711",705,51,35,20,5,0,"2,488",964,0
Breathitt,"3,991","1,537",117,48,35,7,3,"2,854","2,673",1
Breckinridge,"6,484","1,960",194,80,47,6,3,"5,413","3,233",0
Bullitt,"26,210","8,255",964,354,253,18,15,"23,022","12,619",2
Butler,"4,428",947,136,53,11,1,0,"4,055","1,444",1
Caldwell,"4,507","1,260",118,55,32,3,0,"3,887","2,037",0
Calloway,"10,367","4,749",492,281,150,6,4,"9,848","6,154",3
Campbell,"25,050","14,658","1,789",552,422,18,21,"27,418","14,926",2
Carlisle,"2,094",432,42,19,12,2,0,"1,813",769,0
Carroll,"2,588","1,106",100,33,24,4,0,"2,193","1,625",0
Carter,"7,587","2,276",237,109,58,7,4,"5,640","4,428",0
Casey,"5,482",767,121,40,28,1,0,"4,789","1,518",0
Christian,"14,108","7,188",474,179,120,14,0,"14,074","7,675",0
Clark,"10,710","4,706",453,203,121,9,3,"9,023","7,120",0
Clay,"5,861",752,83,40,26,3,2,"4,917","1,506",0
Clinton,"3,809",547,60,23,15,4,4,"3,513",679,0
Crittenden,"3,290",617,76,36,17,1,0,"2,877","1,090",1
Cumberland,"2,502",459,67,22,11,5,0,"2,261",631,0
Daviess,"28,907","14,163","1,488",741,453,29,26,"26,652","18,768",0
Edmonson,"4,135",979,77,28,20,2,3,"3,553","1,648",0
Elliott,"2,000",740,67,21,19,8,0,"1,157","1,477",0
Estill,"4,236","1,108",129,35,30,7,0,"3,528","1,920",0
Fayette,"56,894","69,778","5,230","2,636","1,580",127,70,"54,068","82,403",12
Fleming,"4,722","1,348",109,51,20,7,3,"3,597","2,555",0
Floyd,"11,993","4,015",357,100,56,19,0,"8,082","7,615",0
Franklin,"11,819","10,717",725,343,236,20,5,"10,000","13,860",0
Fulton,"1,549",774,35,16,7,1,0,"1,322","1,029",0
Gallatin,"2,443",749,100,24,18,3,1,"2,358",939,0
Garrard,"5,904","1,453",157,66,33,6,4,"5,034","2,515",0
Grant,"7,268","1,910",226,76,71,5,3,"7,125","2,334",0
Graves,"12,671","3,308",411,112,80,10,14,"10,996","5,394",0
Grayson,"8,219","1,959",259,81,46,8,4,"7,097","3,307",1
Green,"4,372",832,84,19,24,2,0,"3,688","1,459",0
Greenup,"11,546","4,146",319,145,109,8,4,"8,946","7,128",0
Hancock,"2,788","1,244",129,87,44,1,2,"2,383","1,842",1
Hardin,"26,971","13,944","1,413",440,346,28,14,"24,892","18,046",0
Harlan,"9,129","1,372",156,48,39,13,0,"7,455","2,655",0
Harrison,"5,435","2,031",184,78,46,6,1,"4,225","3,472",0
Hart,"5,320","1,730",140,32,39,2,1,"4,504","2,647",0
Henderson,"12,159","6,707",507,177,142,13,5,"10,659","8,882",1
Henry,"4,944","1,828",224,88,58,3,4,"4,300","2,794",0
Hickman,"1,657",449,26,19,6,0,0,"1,409",722,0
Hopkins,"15,277","4,310",478,163,97,16,4,"13,625","6,457",0
Jackson,"4,889",482,79,27,20,3,1,"4,264",969,0
Jefferson,"143,768","190,836","10,188","4,785","3,224",156,142,"144,628","207,610",0
Jessamine,"15,474","6,144",829,675,170,14,20,"13,821","9,462",0
Johnson,"8,043","1,250",163,44,60,12,0,"6,187","2,968",0
Kenton,"42,958","24,214","3,093",938,703,42,50,"47,376","24,370",3
Knott,"4,357","1,245",102,39,13,7,0,"3,085","2,369",0
Knox,"9,885","1,761",189,102,64,11,0,"8,162","3,322",0
Larue,"4,799","1,278",174,80,28,8,0,"4,111","2,185",0
Laurel,"20,592","3,440",473,192,114,13,9,"18,216","6,065",3
Lawrence,"4,816","1,045",107,37,32,5,0,"3,652","2,218",0
Lee,"2,151",444,42,19,7,4,0,"1,688",898,0
Leslie,"4,015",400,39,18,15,5,0,"3,575",679,0
Letcher,"7,293","1,542",210,49,37,3,0,"5,364","3,175",0
Lewis,"4,363",785,95,34,16,5,0,"3,569","1,434",0
Lincoln,"7,338","1,865",226,82,44,6,0,"6,144","3,264",0
Livingston,"3,570",887,115,46,24,1,2,"3,063","1,514",0
Logan,"7,778","2,755",229,91,43,3,0,"7,555","3,214",0
Lyon,"2,789","1,045",74,36,15,2,1,"2,431","1,508",0
Madison,"23,431","11,793","1,189",552,353,18,35,"20,817","16,439",0
Magoffin,"3,824","1,172",66,34,17,3,0,"2,756","2,171",0
Marion,"5,122","2,679",215,59,33,1,2,"3,887","4,086",0
Marshall,"12,322","3,672",426,174,84,10,10,"10,635","6,031",0
Martin,"3,503",363,52,20,13,2,0,"2,814",909,0
Mason,"4,944","1,970",173,87,38,4,3,"4,452","2,640",0
McCracken,"20,774","9,134",839,320,217,10,13,"19,699","11,552",0
McCreary,"5,012",664,59,19,18,4,0,"4,303","1,238",0
McLean,"3,381",988,137,44,15,1,0,"2,820","1,681",0
Meade,"8,660","3,026",333,107,97,6,2,"7,043","5,069",1
Menifee,"2,010",700,43,11,14,1,0,"1,514","1,201",0
Mercer,"7,740","2,395",275,101,68,5,1,"6,365","4,113",0
Metcalfe,"3,491",976,86,41,22,3,1,"2,845","1,660",0
Monroe,"4,278",601,76,23,13,0,0,"3,842",881,0
Montgomery,"7,856","3,158",264,91,68,7,8,"6,220","5,112",0
Morgan,"3,628","1,006",63,43,26,4,5,"2,602","2,010",0
Muhlenberg,"9,393","3,272",230,107,44,8,6,"7,354","5,489",0
Nelson,"13,431","6,434",565,201,131,11,29,"11,747","8,832",0
Nicholas,"1,957",787,65,19,9,3,1,"1,365","1,434",0
Ohio,"7,942","2,080",207,105,64,0,0,"6,742","3,505",0
Oldham,"20,469","10,268","1,229",590,282,15,0,"21,250","11,718",1
Owen,"3,745","1,062",122,43,25,2,2,"3,388","1,527",0
Owsley,"1,474",256,24,3,0,2,0,"1,160",481,0
Pendleton,"4,604","1,164",145,66,27,1,0,"4,376","1,493",0
Perry,"8,158","2,136",168,57,47,6,0,"6,310","3,880",0
Pike,"19,747","4,280",413,124,86,13,2,"14,427","9,299",0
Powell,"3,513","1,272",118,22,27,5,0,"2,664","2,225",0
Pulaski,"22,902","4,208",562,218,127,19,5,"19,972","7,648",2
Robertson,759,222,19,8,5,0,0,650,344,0
Rockcastle,"5,609",915,87,50,25,2,3,"4,889","1,614",3
Rowan,"5,174","3,295",207,68,85,13,6,"4,123","4,625",2
Russell,"6,863","1,093",153,48,14,3,0,"5,904","2,061",0
Scott,"15,052","7,715",853,402,139,19,20,"13,340","10,835",0
Shelby,"13,196","6,276",629,324,138,10,7,"12,477","8,011",0
Simpson,"5,077","2,144",200,65,38,5,2,"4,819","2,618",0
Spencer,"7,196","1,921",237,111,44,4,2,"6,447","2,989",1
Taylor,"8,320","2,553",233,142,53,3,2,"7,276","3,861",0
Todd,"3,612","1,042",64,27,26,3,5,"3,514","1,170",0
Trigg,"4,931","1,587",121,59,45,5,3,"4,752","1,912",0
Trimble,"2,771",879,88,28,20,2,10,"2,326","1,434",0
Union,"4,701","1,331",115,33,29,2,0,"3,840","2,302",0
Warren,"28,673","16,966","1,605",757,415,20,18,"29,188","19,191",1
Washington,"4,013","1,420",111,60,17,9,6,"3,365","2,191",0
Wayne,"6,371","1,431",116,41,30,3,0,"5,159","2,534",0
Webster,"4,397","1,240",111,34,22,1,0,"3,712","1,996",0
Whitley,"11,312","2,067",242,103,41,4,5,"9,748","3,795",0
Wolfe,"1,804",753,42,26,9,1,0,"1,307","1,268",0
Woodford,"7,697","4,958",529,246,117,13,3,"6,838","6,756",0
