County,Clinton,Sanders,Uncommitted,O'Malley,De La Fuente,Gray,Wilder,Leach,Recktenwald,Short,Kender,Houlihan,Paul,Gould,Slaughter
Adair,466,410,43,18,2,530,89,80,15,27,35,25,"1,425",210,79
Allen,427,440,50,5,6,466,107,88,17,34,62,43,"1,228",173,100
Anderson,"1,132","1,649",267,74,22,"2,265",331,100,73,110,65,55,"1,061",105,113
Ballard,405,659,169,34,0,755,70,110,31,41,94,48,317,17,8
Barren,"1,979","2,653",568,97,23,"3,553",266,622,57,176,257,87,"3,012",217,244
Bath,628,641,86,14,8,998,82,48,25,80,49,16,170,15,13
Bell,567,578,87,32,4,595,114,82,64,132,53,42,"1,109",122,123
Boone,"2,932","2,496",164,54,12,"1,759",766,728,384,353,305,354,"4,857",671,412
Bourbon,"1,109","1,087",143,41,5,"1,892",150,78,41,72,48,25,535,35,35
Boyd,"2,193","2,263",362,76,14,"1,818",620,570,228,469,329,181,"1,840",254,113
Boyle,"1,648","1,451",151,40,13,"2,360",301,227,41,63,90,51,"1,236",73,72
Bracken,251,424,57,32,8,322,73,107,53,51,58,38,172,15,8
Breathitt,"1,123","1,716",388,54,33,"1,998",131,197,166,250,114,60,148,3,15
Breckinridge,877,875,113,38,7,840,97,474,60,62,105,53,745,64,93
Bullitt,"2,907","3,210",311,95,20,"3,149",488,790,629,194,337,269,"2,507",144,204
Butler,238,196,22,8,2,242,61,61,7,16,15,8,704,84,96
Caldwell,570,866,179,35,12,"1,057",92,150,22,48,76,33,474,48,24
Calloway,"1,460","2,239",290,64,20,"2,352",455,338,69,104,200,139,"1,402",130,52
Campbell,"3,169","3,133",223,51,13,"1,943","1,158",763,436,385,339,456,"2,580",390,277
Carlisle,206,462,113,18,5,464,36,83,14,29,53,22,224,11,6
Carroll,481,573,90,8,7,594,106,148,61,60,51,30,109,12,1
Carter,800,"1,051",140,39,14,838,273,175,125,212,139,68,735,59,67
Casey,210,182,16,6,0,292,48,16,7,13,11,9,"1,234",229,58
Christian,"2,437","1,936",379,88,17,"1,898",329,596,156,270,480,221,"1,954",158,100
Clark,"1,810","1,888",215,46,17,"3,015",280,115,48,107,79,177,"1,360",105,73
Clay,184,158,30,4,4,247,39,10,15,22,3,12,"1,742",151,198
Clinton,151,93,11,4,2,144,29,16,5,11,14,12,"1,192",161,69
Crittenden,240,344,67,14,9,446,37,68,18,19,40,15,668,90,25
Cumberland,78,87,8,1,0,81,25,13,5,5,13,4,770,109,52
Daviess,"5,066","5,188",674,161,47,"5,307","1,027","1,818",298,568,541,328,"3,034",212,214
Edmonson,275,262,15,4,0,332,59,54,12,15,17,11,575,86,75
Elliott,285,437,75,17,7,311,72,56,62,63,45,18,38,2,4
Estill,446,440,36,12,3,685,83,51,6,37,16,19,824,113,97
Fayette,"20,014","17,049",597,189,57,"30,743","3,896",655,287,553,370,422,"9,656",776,717
Fleming,627,806,78,25,6,"1,125",95,54,27,79,56,29,510,44,46
Floyd,"2,327","4,010",857,161,64,"3,288",681,385,910,736,305,113,510,37,44
Franklin,"5,218","5,398",745,159,59,"7,176","3,049",289,179,244,178,133,"2,047",202,182
Fulton,315,245,93,17,6,409,41,54,16,13,45,17,200,8,9
Gallatin,260,340,44,12,3,177,64,128,47,60,57,25,144,17,8
Garrard,434,387,29,7,3,669,58,44,9,12,26,10,"1,527",106,110
Grant,594,715,95,41,7,515,139,285,59,120,100,67,564,50,36
Graves,"1,631","2,631",727,101,36,"3,030",248,434,102,135,293,111,"1,638",132,77
Grayson,705,630,58,18,2,692,99,237,65,46,70,48,"1,169",111,122
Green,284,360,42,14,3,363,47,102,17,19,45,15,800,72,66
Greenup,"1,517","1,655",229,54,12,"1,319",434,513,133,252,209,87,975,146,70
Hancock,491,573,69,17,4,575,73,213,30,34,68,36,305,36,31
Hardin,"4,359","4,208",406,113,29,"4,125",737,"1,598",307,598,488,446,"3,263",258,277
Harlan,451,"1,092",131,47,17,838,162,130,85,181,116,45,572,49,60
Harrison,886,"1,059",136,47,12,"1,671",96,112,35,53,65,18,479,43,21
Hart,817,"1,062",125,42,12,"1,013",120,344,49,81,99,65,565,23,41
Henderson,"2,887","2,850",803,88,19,"3,594",708,617,153,204,300,187,"1,637",164,74
Henry,781,958,136,37,11,900,368,181,80,106,60,65,495,34,19
Hickman,209,300,120,11,4,389,39,53,12,20,33,20,395,26,8
Hopkins,"1,690","2,696",630,125,26,"2,704",397,522,106,259,307,234,"1,401",163,60
Jackson,78,128,7,3,1,144,30,7,8,5,3,6,"1,450",158,166
Jefferson,"64,090","45,048","1,861",622,141,"46,072","17,345","10,232","10,871","6,009","5,623","3,986","21,480","1,919","2,028"
Jessamine,"1,875","2,113",191,55,11,"3,238",294,148,78,119,88,79,"2,270",169,139
Johnson,444,749,116,29,11,604,182,74,135,134,85,33,"1,228",178,214
Kenton,"5,146","4,880",358,86,34,"3,054","1,742","1,165",617,662,581,763,"5,576",765,388
Knott,583,"1,114",138,42,16,923,130,97,84,380,46,25,104,10,10
Knox,520,504,41,17,4,698,108,53,41,47,35,25,"1,324",129,172
Larue,612,910,191,39,12,845,94,338,50,66,84,65,577,29,39
Laurel,845,791,70,12,4,"1,131",198,52,63,83,43,30,"4,243",430,532
Lawrence,444,659,111,38,5,477,122,85,88,162,116,37,491,56,72
Lee,199,224,30,8,3,315,30,55,16,19,17,6,888,80,122
Leslie,64,77,4,1,0,68,28,7,7,10,6,2,960,77,111
Letcher,838,"1,788",421,71,25,"1,431",413,171,127,406,146,47,989,97,115
Lewis,211,151,27,15,4,187,37,66,18,31,28,7,732,143,87
Lincoln,779,742,83,21,7,"1,241",96,90,40,56,32,18,937,99,88
Livingston,400,610,128,17,9,758,64,93,21,36,61,31,335,29,10
Logan,"1,077","1,131",194,50,9,"1,006",223,356,72,110,175,110,795,67,42
Lyon,497,561,139,23,8,867,66,63,25,19,57,40,330,41,27
Madison,"3,441","4,385",338,84,24,"5,771","1,217",212,121,335,150,133,"3,428",273,237
