County,Amdt1yes,Amdt1no
Adair,"3,062","3,064"
Allen,"2,948","2,582"
Anderson,"5,180","3,805"
Ballard,"1,671","1,387"
Barren,"7,551","5,954"
Bath,"2,373","1,296"
Bell,"3,808","2,277"
Boone,"25,625","12,427"
Bourbon,"5,115","2,175"
Boyd,"7,953","5,111"
Boyle,"5,953","3,500"
Bracken,"1,587",915
Breathitt,"2,639","1,436"
Breckinridge,"4,386","2,603"
Bullitt,"15,857","8,039"
Butler,"2,086","1,977"
Caldwell,"2,171","2,095"
Calloway,"6,481","4,652"
Campbell,"22,856","7,944"
Carlisle,892,"1,122"
Carroll,"2,169",873
Carter,"3,782","3,764"
Casey,"2,010","2,110"
Christian,"9,729","5,576"
Clark,"8,089","4,555"
Clay,"2,207","2,233"
Clinton,"1,571","1,590"
Crittenden,"1,402","1,516"
Cumberland,"1,258","1,032"
Daviess,"17,316","13,684"
Edmonson,"2,118","1,766"
Elliott,756,922
Estill,"2,438","2,400"
Fayette,"71,164","37,998"
Fleming,"2,808","1,778"
Floyd,"5,560","5,851"
Franklin,"12,304","7,035"
Fulton,"1,109",529
Gallatin,"1,779",896
Garrard,"2,896","2,057"
Grant,"4,138","2,269"
Graves,"6,169","5,392"
Grayson,"4,324","3,013"
Green,"1,896","1,867"
Greenup,"6,734","4,817"
Hancock,"1,760","1,366"
Hardin,"20,243","8,972"
Harlan,"3,890","3,130"
Harrison,"3,650","2,060"
Hart,"3,041","2,391"
Henderson,"7,347","6,455"
Henry,"3,397","2,079"
Hickman,752,802
Hopkins,"6,833","7,744"
Jackson,"1,633","1,769"
Jefferson,"177,821","65,060"
Jessamine,"11,726","6,464"
Johnson,"3,466","3,765"
Kenton,"34,446","13,087"
Knott,"2,180","2,045"
Knox,"4,582","3,634"
Larue,"2,506","1,660"
Laurel,"7,994","7,487"
Lawrence,"2,277","2,497"
Lee,"1,174",908
Leslie,"1,625","1,651"
Letcher,"4,007","2,933"
Lewis,"1,175","1,278"
Lincoln,"3,978","2,901"
Livingston,"1,693","1,561"
Logan,"3,770","3,880"
Lyon,"1,789","1,242"
Madison,"18,810","12,842"
Magoffin,"2,674","2,020"
Marion,"3,549","2,096"
Marshall,"7,347","5,487"
Martin,"1,300","1,427"
Mason,"3,295","1,593"
McCracken,"13,423","7,117"
McCreary,"2,411","1,937"
McLean,"1,465","2,071"
Meade,"5,943","3,240"
Menifee,"1,541",886
Mercer,"4,743","2,997"
Metcalfe,"1,989","1,820"
Monroe,"1,742","1,701"
Montgomery,"5,688","2,914"
Morgan,"2,206","1,470"
Muhlenberg,"4,449","5,647"
Nelson,"9,095","5,336"
Nicholas,"1,416",705
Ohio,"3,370","3,639"
Oldham,"17,237","6,718"
Owen,"2,088","1,590"
Owsley,983,501
Pendleton,"2,761","1,347"
Perry,"5,134","3,373"
Pike,"7,908","8,926"
Powell,"2,852","1,619"
Pulaski,"10,254","8,944"
Robertson,426,267
Rockcastle,"2,361","2,558"
Rowan,"4,006","2,753"
Russell,"3,271","3,060"
Scott,"12,000","7,042"
Shelby,"10,243","4,944"
Simpson,"3,116","2,611"
Spencer,"4,691","2,586"
Taylor,"4,780","3,917"
Todd,"2,050","1,463"
Trigg,"3,157","2,076"
Trimble,"1,910",821
Union,"2,381","2,651"
Warren,"23,093","13,901"
Washington,"2,561","1,864"
Wayne,"3,248","2,122"
Webster,"1,903","1,959"
Whitley,"4,768","3,785"
Wolfe,"1,317",824
Woodford,"7,052","4,256"
