County,Beshear,Bevin,Hicks,Write-in,Adams,Henry,Cameron,Stumbo,Harmon,Donahue,Hugenberg,Ball,Bowman,Quarles,Conway,Gilpin
Adair,"1,626","3,946",99,4,"4,033","1,541","4,417","1,193","4,199","1,101",102,"4,460","1,044","4,327","1,052",131
Allen,"1,649","3,564",96,0,"3,868","1,366","3,946","1,282","3,841","1,199",124,"4,080","1,124","3,956","1,119",117
Anderson,"3,978","5,380",227,0,"5,527","4,020","6,338","3,156","6,149","2,847",324,"6,622","2,761","6,619","2,565",263
Ballard,"1,012","2,010",54,0,"2,094",945,"2,108",932,"2,005",907,77,"2,200",825,"2,169",804,56
Barren,"5,280","7,693",256,0,"8,376","4,702","8,787","4,303","8,200","4,140",336,"9,079","3,820","8,681","3,759",384
Bath,"1,886","1,672",70,0,"1,745","1,858","1,955","1,658","2,002","1,459",73,"2,005","1,535","2,044","1,465",65
Bell,"2,013","3,398",98,0,"3,737","1,617","3,664","1,775","3,694","1,407",109,"3,880","1,434","3,730","1,419",119
Boone,"16,947","23,000",970,1,"25,133","15,235","27,223","12,981","25,259","12,501","1,981","27,640","12,313","25,698","12,023","1,962"
Bourbon,"3,323","3,463",123,0,"3,669","3,232","4,086","2,778","4,040","2,560",175,"4,398","2,412","4,487","2,236",128
Boyd,"6,989","6,182",331,0,"6,749","6,614","7,139","6,272","6,959","5,688",482,"7,439","5,762","6,834","5,789",494
Boyle,"5,099","5,103",198,0,"5,569","4,789","6,187","4,116","6,877","3,253",209,"6,597","3,640","6,498","3,477",280
Bracken,"1,063","1,367",102,0,"1,129","1,403","1,613",865,"1,542",840,69,"1,649",811,"1,589",831,56
Breathitt,"1,889","1,820",53,0,"1,861","1,765","1,912","1,739","1,913","1,529",84,"2,060","1,514","1,926","1,585",80
Breckinridge,"2,775","3,897",175,0,"3,965","2,837","4,557","2,205","4,218","2,146",187,"4,814","1,850","4,519","1,977",186
Bullitt,"11,275","14,517",700,1,"14,602","11,740","17,372","8,754","15,886","8,808","1,023","17,739","8,179","16,368","8,319","1,105"
Butler,"1,134","2,574",73,0,"2,800",937,"2,849",888,"2,777",813,84,"2,981",736,"2,866",750,107
Caldwell,"1,510","2,843",72,0,"2,913","1,455","2,984","1,392","2,924","1,253",112,"3,139","1,200","3,078","1,174",88
Calloway,"5,160","6,344",251,0,"7,048","4,575","7,080","4,548","6,766","4,293",390,"7,526","4,037","7,369","3,884",320
