County,Beshear,Adkins,Edelen,Young,Bevin,Goforth,Woods,Lawrence,Henry,Belcher,Griffith,Sebesta,Adams,English,Knipper,Nett,Cameron,Schroder,Donahue,Coots,Tobe,Bowman,Mers,Conway,Trigg,Quarles,Polyniak
Adair,258,237,151,15,812,731,56,27,438,77,92,9,674,339,228,134,"1,010",460,212,160,54,374,150,385,171,"1,317",194
Allen,324,198,93,30,716,764,60,40,325,141,107,16,728,392,160,136,783,653,212,194,67,389,152,349,217,"1,170",291
Anderson,820,"1,452",827,54,"1,250",758,89,67,"2,258",254,411,75,702,547,484,195,"1,105",897,995,742,403,"1,559","1,006","1,507","1,161","1,823",225
Ballard,386,388,234,43,277,44,13,10,434,288,212,35,161,70,35,42,172,142,268,287,120,707,213,724,245,277,44
Barren,"1,271","1,184",594,77,"1,245","1,038",119,62,"1,864",412,465,108,904,615,366,243,"1,256","1,023","1,003",576,447,"1,727",745,748,"2,230","2,040",244
Bath,252,"1,539",201,22,192,121,8,9,"1,359",220,204,42,123,67,54,51,161,146,638,371,208,906,601,967,620,262,48
Bell,414,366,127,20,600,972,59,29,446,179,164,20,709,327,229,126,830,651,245,271,102,534,203,559,203,"1,130",335
Boone,"2,388",908,840,241,"4,001","3,002",757,169,"2,804",575,583,210,"2,147","2,007","1,578","1,295","2,164","5,208","1,627","1,172",730,"2,359","1,463","1,979","1,871","5,393","1,462"
Bourbon,694,971,666,56,586,262,38,46,"1,833",208,208,56,323,240,171,94,494,388,817,579,248,"1,248",776,"1,297",808,823,75
Boyd,299,"4,328",155,50,"1,022",992,256,90,"2,753",796,621,165,869,618,312,315,"1,052","1,091","1,496",914,553,"2,705","1,124","2,349","1,574","1,616",489
Boyle,"1,160",831,903,51,"1,091",692,76,61,"2,079",276,354,74,787,427,305,162,"1,190",603,987,605,471,"1,456",895,"1,308","1,137","1,700",128
Bracken,145,607,96,38,150,49,35,13,774,43,51,25,72,44,58,42,43,206,233,216,129,403,358,514,281,193,40
Breathitt,259,"1,498",165,33,153,53,3,8,992,301,418,42,85,54,28,31,125,79,298,703,242,"1,220",356,"1,232",391,148,44
Breckinridge,486,517,527,27,751,528,83,52,"1,142",124,171,32,521,323,255,171,745,563,609,315,157,799,480,774,577,"1,151",165
Bullitt,"2,459","1,160","1,754",126,"2,631","1,524",337,183,"4,200",624,424,110,"1,418","1,185",729,882,"2,461","1,861","2,103","1,178",891,"3,068","1,584","2,679","2,165","3,478",747
Butler,163,105,84,12,692,531,87,35,208,45,68,14,489,345,231,125,620,608,125,96,28,204,102,198,117,"1,113",157
Caldwell,551,543,281,51,428,166,33,12,622,418,218,43,254,138,130,64,297,290,370,386,129,888,291,866,371,528,78
Calloway,"1,261",839,844,80,965,423,63,45,"1,553",618,473,92,667,341,202,126,785,582,"1,017",771,291,"1,684",814,"1,791",845,"1,170",243
Campbell,"2,448",966,"1,290",274,"2,472","1,940",530,143,"3,238",575,739,209,"1,249","1,316","1,315",522,"1,391","3,621","1,629","1,376","1,021","2,440","1,877","2,233","2,133","3,324","1,001"
Carlisle,213,265,102,22,171,22,10,3,265,143,117,23,98,36,46,13,94,95,125,176,60,387,111,385,142,175,24
Carroll,296,425,220,36,157,34,10,6,696,141,68,31,78,39,25,40,103,88,266,251,153,566,240,520,312,140,45
Carter,165,"2,820",89,18,527,"1,010",131,51,"1,435",641,562,70,730,394,224,203,884,680,707,917,251,"1,945",508,"1,769",735,"1,062",489
Casey,96,158,78,4,950,888,56,34,214,44,46,19,940,411,192,151,"1,121",667,88,107,46,224,71,197,112,"1,514",278
Christian,"1,487","1,092",472,124,"1,123",710,66,45,"1,574",749,601,98,707,509,234,337,972,838,"1,172",788,323,"2,100",695,"1,780","1,148","1,373",449
Clark,"1,252","1,565",936,69,"1,586",760,97,57,"2,671",363,422,169,"1,005",606,359,238,"1,376",941,"1,206",822,434,"1,853","1,281","1,888","1,353","2,107",231
Clay,91,139,31,8,648,"1,857",48,42,150,47,32,4,"1,197",441,309,198,"1,416",843,59,99,28,160,50,154,57,"1,591",592
Clinton,98,50,21,10,293,600,49,18,85,38,33,6,454,196,131,73,596,270,59,38,21,97,46,103,42,733,135
Crittenden,269,297,138,19,598,296,74,34,316,222,117,23,448,218,164,53,522,364,198,214,58,458,163,470,174,735,167
Cumberland,37,63,27,0,291,337,31,22,72,11,28,1,232,141,158,61,332,269,42,22,11,65,31,65,37,524,106
Daviess,"3,730","1,727","2,506",226,"2,736","1,361",281,147,"5,804",994,891,194,"1,355","1,389",809,386,"2,042","1,973","2,569","2,818",806,"4,575","2,297","3,825","3,271","3,410",633
Edmonson,271,144,117,8,532,660,38,23,311,73,91,17,453,363,122,154,541,585,197,106,56,273,176,292,186,"1,090",94
Elliott,33,"1,956",22,7,51,20,15,5,625,371,393,47,41,21,14,12,55,36,370,473,156,970,298,961,348,50,39
Estill,250,437,215,12,633,651,65,31,647,80,115,19,523,287,261,168,701,582,323,202,116,473,311,464,353,"1,114",158
Fayette,"15,994","8,146","12,499",542,"9,416","6,343",801,975,"25,294","2,766","5,074","1,269","5,599","4,894","2,917","1,340","8,094","7,830","12,815","9,030","5,371","14,629","15,203","14,236","15,547","13,830","2,144"
Fleming,203,"1,120",293,22,530,283,37,23,"1,245",147,145,33,290,216,140,142,443,386,549,315,183,720,597,903,474,731,97
Floyd,"1,180","3,633",603,96,339,325,41,32,"2,436","1,346",985,195,342,148,93,77,406,267,"1,173","1,762",685,"3,480","1,049","3,596","1,074",442,220
Franklin,"2,976","5,507","2,943",177,"1,797","1,203",189,147,"8,988",793,"1,107",278,994,"1,039",673,287,"1,642","1,501","4,112","2,389","1,766","6,066","3,435","5,370","4,366","2,939",278
Fulton,234,197,92,26,116,28,6,5,238,161,101,16,80,27,26,12,81,68,157,138,45,347,120,347,151,123,23
Gallatin,192,236,67,38,130,103,16,2,347,68,77,19,65,39,37,62,70,153,162,137,65,282,163,249,219,191,29
Garrard,313,293,228,9,959,961,47,51,573,93,85,33,705,479,356,183,"1,095",754,300,184,106,443,263,420,304,"1,658",210
Grant,452,421,168,70,593,413,106,16,744,128,151,47,355,288,192,158,390,654,311,270,186,620,327,557,427,894,135
Graves,"1,171","1,174",704,127,"1,075",366,59,32,"1,416",671,639,115,645,342,185,189,684,692,877,724,316,"1,858",673,"1,994",711,"1,149",252
Grayson,479,288,267,31,"1,279",935,133,88,735,104,146,33,873,500,334,501,"1,253","1,029",446,191,125,584,336,576,372,"2,004",280
Green,175,174,108,10,655,483,53,18,320,45,64,10,387,370,183,119,561,555,166,95,58,218,158,218,179,"1,019",112
