County,Trump,Biden,Jorgensen,West,Pierce,Write-in_PRES,McConnell,McGrath,Barron,Write-in_SEN,Amdt1yes,Amdt1no,Amdt2yes,Amdt2no
Adair,"7,276","1,392",60,25,10,5,"6,753","1,623",348,0,"3,511","2,759","2,023","4,333"
Allen,"7,587","1,642",99,22,14,0,"6,949","1,919",433,0,"4,574","2,786","2,694","4,793"
Anderson,"9,661","3,348",184,34,19,8,"9,021","3,663",551,0,"4,934","4,189","2,584","6,692"
Ballard,"3,356",825,32,10,2,0,"3,155",936,136,0,"2,060","1,409","1,108","2,415"
Barren,"14,654","5,127",201,52,21,9,"13,341","5,600","1,081",0,"8,988","6,760","5,195","10,828"
Bath,"3,986","1,573",44,12,12,0,"3,537","1,827",246,0,"3,088","1,820","1,436","3,505"
Bell,"8,140","1,789",78,30,7,0,"7,346","2,159",442,0,"4,606","2,398","2,728","4,470"
Boone,"44,814","20,901",981,171,93,38,"41,729","22,450","2,778",0,"37,403","18,620","16,858","40,125"
Bourbon,"6,190","3,296",106,31,20,5,"5,807","3,477",364,0,"5,215","2,622","2,965","4,987"
Boyd,"14,295","7,083",287,55,21,10,"12,909","7,915",931,0,"11,493","5,912","6,230","11,536"
Boyle,"8,872","5,298",210,63,24,11,"8,418","5,445",603,0,"7,711","4,999","4,180","8,731"
Bracken,"3,398",800,27,11,8,2,"3,042",987,203,0,"2,201","1,488",989,"2,708"
Breathitt,"4,265","1,301",52,31,12,0,"3,738","1,652",223,0,"2,739","2,087","1,793","3,154"
Breckinridge,"7,701","2,350",103,24,19,4,"6,937","2,764",497,1,"5,174","3,267","3,050","5,539"
Bullitt,"30,708","10,552",563,87,55,33,"28,040","11,896","1,946",0,"24,505","13,042","11,776","26,258"
Butler,"4,960","1,079",63,8,12,3,"4,471","1,239",413,0,"2,515","2,205","1,677","3,124"
Caldwell,"4,906","1,433",58,22,9,6,"4,452","1,675",298,0,"3,159","2,250","1,775","3,735"
Calloway,"11,352","5,797",227,44,27,10,"10,635","6,180",664,0,"10,046","5,607","4,781","11,141"
Campbell,"28,482","19,374",763,133,82,44,"26,327","20,600","1,954",1,"28,389","13,000","12,428","29,805"
Carlisle,"2,159",463,15,1,0,0,"2,009",541,92,0,973,995,543,"1,452"
Carroll,"2,954","1,116",44,13,8,1,"2,560","1,299",256,0,"2,200","1,451","1,129","2,540"
Carter,"8,775","2,642",107,45,16,1,"7,725","3,253",570,0,"5,079","3,857","2,649","6,466"
Casey,"6,179",918,53,12,9,0,"5,775","1,027",350,0,"3,112","2,488","1,719","4,002"
Christian,"15,080","8,296",348,95,44,0,"13,523","9,130","1,136",1,"14,540","6,377","8,528","12,663"
Clark,"11,811","6,004",226,53,34,11,"11,120","6,312",695,1,"9,924","5,567","5,209","10,482"
Clay,"6,677",831,40,23,19,1,"6,242","1,016",310,0,"3,490","2,849","2,475","4,024"
Clinton,"4,280",603,30,10,9,0,"3,969",729,204,0,"2,127","1,825","1,375","2,781"
Crittenden,"3,451",731,47,7,6,0,"3,163",869,204,0,"1,988","1,484","1,157","2,358"
Cumberland,"2,769",508,21,7,4,0,"2,446",610,221,0,999,971,542,"1,478"
Daviess,"31,025","17,286",670,168,96,42,"28,087","18,383","2,819",0,"28,632","14,626","14,803","29,064"
Edmonson,"4,828","1,227",60,10,6,1,"4,408","1,383",332,0,"2,587","2,127","1,556","3,210"
Elliott,"2,246",712,18,9,10,0,"1,958",868,140,0,"1,197","1,415",685,"1,984"
Estill,"5,100","1,355",64,16,3,2,"4,783","1,515",239,0,"2,853","2,544","1,361","4,075"
Fayette,"58,860","90,600","2,383",562,309,198,"58,919","90,137","4,141",17,"90,439","44,554","38,454","97,180"
Fleming,"5,534","1,474",37,16,5,2,"5,041","1,743",255,0,"3,154","2,354","1,876","3,745"
Floyd,"12,250","3,884",111,69,37,2,"10,737","4,924",623,0,"7,627","6,866","4,821","9,970"
Franklin,"12,900","12,652",365,89,55,11,"11,990","13,091","1,034",1,"13,991","8,249","7,126","15,381"
Fulton,"1,606",794,18,2,5,1,"1,489",810,110,0,"1,327",682,802,"1,242"
Gallatin,"2,955",822,58,3,11,0,"2,653",974,217,0,"1,698","1,106","1,013","1,875"
