County,Trump,Uncommitted_R,Biden,Sanders,Uncommitted_D,Warren,Buttigieg,Yang,Gabbard,Klobuchar,Steyer,Bennet,Patrick,McConnell,Morgan,Grider,Frangedakis,James,Lowndes,Alsager,McGrath,Booker,Broihier,Tobin,Hilliard,Maynard,Smith,Ausbrooks,Rothmuller,Sharpensteen
Adair,"2,563",172,604,83,93,23,7,13,13,12,8,7,1,"2,261",183,61,37,36,22,30,497,263,51,26,8,6,12,9,3,6
Allen,"2,553",221,655,101,147,23,8,11,11,18,7,4,2,"2,147",300,55,44,40,23,35,564,273,28,34,19,5,13,48,9,4
Anderson,"2,981",308,"2,079",302,715,89,87,75,77,48,33,27,16,"2,646",178,97,80,43,95,24,"1,736","1,121",326,111,109,94,49,23,68,22
Ballard,565,21,577,94,357,15,17,27,28,13,15,12,6,500,28,12,6,10,4,10,570,267,49,72,33,21,49,57,8,10
Barren,"3,383",347,"2,522",431,605,95,55,66,42,54,25,34,7,"3,057",280,82,71,61,18,30,"2,048","1,480",133,102,32,37,46,87,16,47
Bath,520,32,"1,121",188,465,51,29,21,25,21,16,23,8,466,36,8,9,2,15,0,"1,048",472,274,60,39,71,27,14,37,32
Bell,"2,610",218,797,137,243,32,17,16,10,11,11,17,3,"2,348",172,45,28,47,43,22,737,320,65,38,40,41,36,6,12,10
Boone,"13,918","2,255","6,703","1,192",623,264,178,126,75,70,21,22,14,"12,546","1,293",677,520,442,143,108,"5,515","3,129",254,122,112,69,40,46,42,34
Bourbon,"1,341",217,"1,975",285,562,86,61,50,45,43,28,14,12,"1,280",107,28,32,32,40,12,"1,504","1,033",404,91,30,64,33,7,41,20
Boyd,"3,879",502,"3,597",547,711,106,82,88,61,51,29,30,10,"3,491",216,160,100,87,63,29,"3,141","1,600",169,97,98,107,65,19,29,40
Boyle,"2,452",463,"2,881",404,508,128,82,57,46,37,22,23,8,"2,302",150,126,70,112,21,17,"1,723","1,913",419,65,28,28,29,36,14,24
Bracken,536,45,529,83,353,27,22,23,28,19,13,10,2,460,58,25,6,12,6,4,534,270,84,71,43,31,40,8,15,12
Breathitt,308,15,958,165,472,28,10,42,40,22,24,14,4,276,24,1,5,4,1,4,877,414,324,50,53,60,40,13,11,21
Breckinridge,"2,106",198,"1,209",151,221,47,33,17,22,17,25,9,5,"1,856",148,73,47,37,15,24,956,443,121,260,12,11,10,11,5,8
Bullitt,"8,348",898,"5,148","1,014","1,215",188,173,131,126,87,61,48,31,"7,446",473,334,242,188,79,98,"4,172","2,833",716,209,84,77,72,110,45,55
