County,Paul,Booker,Write-in,Amt1yes,Amt1no,Amt2yes,Amt2no
Adair,"5,249","1,075",0,"2,995","2,240","4,074","1,873"
Allen,"4,931","1,171",0,"3,323","1,892","3,662","2,068"
Anderson,"6,687","2,691",0,"3,852","4,644","5,013","4,152"
Ballard,"2,488",639,0,"1,634","1,097","1,964","1,028"
Barren,"10,298","3,845",0,"6,183","5,946","7,369","5,922"
Bath,"2,827","1,404",2,"1,646","1,859","1,942","1,929"
Bell,"5,420","1,375",0,"3,000","2,080","4,025","2,094"
Boone,"30,898","14,409",11,"20,646","19,520","22,540","21,581"
Bourbon,"4,381","2,429",8,"2,838","3,310","2,756","3,832"
Boyd,"9,071","5,098",0,"5,957","6,056","6,810","6,638"
Boyle,"6,304","4,021",1,"4,257","4,920","4,739","5,242"
Bracken,"2,478",756,0,"1,564","1,214","1,757","1,273"
Breathitt,"2,285","1,267",0,"1,717","1,607","2,039","1,388"
Breckinridge,"5,076","1,723",0,"3,097","2,912","3,821","2,714"
Bullitt,"17,945","6,895",2,"11,012","11,477","12,116","12,108"
Butler,"3,429",766,0,"2,222","1,399","2,611","1,377"
Caldwell,"3,580","1,104",0,"2,321","1,726","2,931","1,578"
Calloway,"7,906","3,934",1,"5,291","5,145","5,988","5,492"
Campbell,"20,849","14,812",3,"14,030","16,552","14,700","19,615"
Carlisle,"1,750",377,1,"1,120",745,"1,468",586
Carroll,"1,992",886,0,"1,195","1,250","1,243","1,455"
Carter,"5,792","2,383",1,"3,217","3,463","4,345","3,238"
Casey,"4,396",751,1,"2,626","1,861","3,432","1,473"
Christian,"10,255","5,210",0,"7,285","6,050","8,131","6,294"
Clark,"8,270","4,533",2,"5,383","6,138","6,051","6,348"
Clay,"4,238",687,0,"2,753","1,752","3,303","1,435"
Clinton,"3,016",409,0,"1,999","1,075","2,451",820
Crittenden,"2,540",534,0,"1,517","1,144","1,990",993
Cumberland,"2,123",355,0,"1,214",731,"1,494",700
Daviess,"20,998","11,906",2,"14,451","13,846","17,298","14,462"
Edmonson,"3,309",957,0,"1,827","1,646","2,211","1,742"
Elliott,"1,406",658,0,857,924,"1,142",795
Estill,"3,511","1,110",0,"2,062","1,851","2,430","1,865"
Fayette,"42,041","64,467",42,"29,828","67,461","27,887","76,028"
Fleming,"3,803","1,254",0,"2,189","1,964","2,612","2,017"
Floyd,"7,636","4,000",1,"5,471","5,172","6,527","4,874"
Franklin,"9,570","10,589",3,"5,328","13,672","6,563","13,202"
Fulton,"1,087",445,0,723,605,820,669
Gallatin,"2,224",788,0,"1,289","1,277","1,465","1,337"
Garrard,"4,560","1,347",0,"2,831","2,478","3,496","2,242"
Grant,"5,847","1,592",2,"3,635","2,947","4,236","2,954"
Graves,"9,514","2,575",4,"5,990","4,190","7,971","3,609"
Grayson,"6,229","1,687",1,"3,566","3,221","4,385","3,101"
