District,Paul,Booker,Write-in,Amt1yes,Amt1no,Amt2yes,Amt2no
KY-01,"175,969","71,830",20,"113,047","102,334","135,381","101,020"
KY-02,"162,096","76,846",27,"105,914","103,099","120,929","109,033"
KY-03,"103,356","157,760",31,"74,282","154,551","69,001","179,935"
KY-04,"169,769","89,136",40,"112,887","114,413","121,274","128,698"
KY-05,"164,424","53,547",12,"103,238","83,590","131,784","74,987"
KY-06,"137,712","115,192",63,"92,858","136,324","97,265","148,559"

SD_01,"28,724","10,041",7,"18,377","15,038","22,655","14,574"
SD_02,"32,016","12,142",5,"21,647","17,191","25,278","17,355"
SD_03,"20,897","9,451",1,"14,424","11,433","17,227","11,519"
SD_04,"26,203","11,684",0,"17,042","15,797","19,375","16,783"
SD_05,"27,232","8,508",4,"17,075","14,329","20,106","14,145"
SD_06,"26,394","21,547",8,"18,254","24,506","17,609","29,009"
SD_07,"29,056","16,027",7,"18,369","21,889","20,302","23,247"
SD_08,"25,981","13,814",2,"17,557","16,568","21,274","17,079"
SD_09,"25,523","10,185",0,"15,654","15,059","18,849","15,029"
SD_10,"19,802","11,661",14,"13,625","14,534","14,783","15,718"
SD_11,"25,522","12,660",11,"17,381","16,440","18,540","18,624"
SD_12,"27,993","21,505",9,"18,033","26,398","19,719","28,353"
SD_13,"10,978","24,086",13,"8,013","24,214","6,838","27,442"
SD_14,"28,278","12,502",4,"17,229","18,207","21,184","18,067"
SD_15,"32,582","7,236",0,"20,531","13,518","26,267","11,547"
SD_16,"30,376","10,482",1,"19,222","15,359","22,383","15,946"
SD_17,"26,067","14,838",7,"17,525","18,989","18,298","21,466"
SD_18,"27,021","11,788",1,"16,404","15,929","19,793","16,470"
SD_19,"16,314","32,631",1,"11,899","31,503","10,926","35,968"
SD_20,"23,880","15,693",4,"14,040","21,997","16,861","21,541"
SD_21,"28,577","6,323",3,"18,587","12,402","23,304","10,637"
SD_22,"23,029","17,088",4,"15,564","20,775","17,073","22,154"
SD_23,"20,254","15,533",3,"15,591","16,013","15,272","19,581"
SD_24,"27,419","17,262",4,"18,266","20,212","19,421","23,463"
SD_25,"27,404","5,331",4,"16,572","11,179","22,002","8,919"
SD_26,"19,372","29,163",10,"13,592","29,135","12,117","34,632"
SD_27,"25,119","15,915",19,"16,331","19,778","17,129","21,994"
SD_28,"24,195","16,631",9,"15,855","20,478","17,592","21,642"
SD_29,"26,567","10,102",1,"17,041","14,126","21,886","12,803"
SD_30,"25,366","9,962",1,"16,362","14,328","19,928","13,431"
SD_31,"23,052","7,115",1,"13,190","12,253","17,898","10,097"
