County,Paul,Fredrick,Hamilton,Blankenship,Stainfield,Schiess,Booker,Blanton,Merrill,Gao
Adair,"2,741",110,91,129,71,31,221,69,44,30
Allen,"2,742",126,114,184,62,42,310,75,66,48
Anderson,"3,007",113,86,86,105,30,"1,259",225,194,128
Ballard,603,14,18,30,14,4,613,196,240,100
Barren,"3,226",108,78,70,66,18,"1,360",216,243,127
Bath,462,16,8,8,16,7,921,313,247,112
Bell,"3,256",139,117,124,69,84,523,217,137,78
Boone,"9,835",278,242,161,194,198,"2,064",137,301,277
Bourbon,"1,403",61,48,46,65,11,"1,038",191,192,144
Boyd,"2,374",106,87,77,38,57,"1,248",404,180,135
Boyle,"1,641",88,66,52,48,16,"1,709",184,159,106
Bracken,652,14,11,5,17,10,307,86,192,64
Breathitt,275,9,21,4,7,15,"1,273","1,365",517,193
Breckinridge,"2,516",144,133,94,72,46,459,106,142,70
Bullitt,"5,662",272,221,149,123,51,"2,019",391,500,323
Butler,"2,391",139,111,82,74,26,146,24,23,22
Caldwell,"1,302",48,33,71,31,7,644,213,201,95
Calloway,"1,498",93,43,51,28,9,"1,056",179,233,137
Campbell,"7,589",290,194,211,192,156,"3,152",184,485,387
Carlisle,328,3,6,4,4,1,133,53,44,25
Carroll,404,24,10,9,10,8,599,177,289,110
Carter,"1,861",94,76,80,45,35,886,288,220,119
Casey,"2,899",96,131,144,100,44,138,31,13,13
Christian,"2,863",99,74,94,58,27,"1,648",467,337,237
Clark,"2,524",89,54,45,86,22,"1,588",248,249,170
Clay,"4,186",165,217,135,125,213,144,35,21,7
Clinton,"2,940",147,125,100,155,131,69,26,21,17
Crittenden,"1,464",49,46,57,40,18,200,64,47,29
Cumberland,"1,816",127,81,130,94,47,76,24,8,13
Daviess,"7,458",399,285,212,155,61,"4,445",537,644,447
Edmonson,"2,205",118,87,73,54,25,199,47,19,23
Elliott,140,4,3,5,2,6,464,340,148,82
Estill,"1,575",59,44,47,61,12,330,85,56,35
Fayette,"12,292",775,566,403,635,148,"25,879",781,982,"1,285"
Fleming,"1,361",37,44,34,79,21,423,97,112,59
Floyd,"1,375",44,71,55,29,31,"2,672","1,791",859,321
Franklin,"2,534",166,114,108,124,35,"6,218",850,705,483
Fulton,204,5,3,7,4,1,291,116,82,37
Gallatin,570,17,7,12,15,19,254,71,163,74
Garrard,"2,464",105,77,90,92,25,359,17,34,44
Grant,"2,091",52,47,71,34,27,361,73,148,70
Graves,"1,843",42,36,44,31,6,789,214,249,99
Grayson,"3,278",184,122,126,88,35,392,90,70,49
Green,"2,213",114,107,63,51,28,210,33,43,28
Greenup,"3,823",124,105,95,75,61,"1,247",323,422,190
Hancock,775,35,46,18,19,10,327,42,48,39
Hardin,"6,085",294,231,184,137,61,"3,488",404,451,333
Harlan,"4,094",158,141,133,134,105,563,330,186,75
Harrison,"1,258",38,37,20,29,18,843,143,234,105
Hart,"1,169",36,30,22,16,5,582,131,142,62
Henderson,"1,356",53,37,34,18,8,"1,686",278,310,245
Henry,"1,425",35,36,18,26,22,614,134,212,79
Hickman,480,7,8,7,5,3,187,72,59,21
Hopkins,"2,330",87,60,54,47,25,"1,445",355,416,175
Jackson,"2,526",88,99,70,72,67,61,8,18,8
Jefferson,"32,403","1,558","2,576",886,"1,125",450,"73,194","3,101","4,880","3,441"
Jessamine,"4,813",210,278,127,144,39,"1,755",211,225,224
Johnson,"3,428",130,131,111,75,76,351,190,52,33
Kenton,"9,702",316,286,252,254,205,"4,395",289,614,536
Knott,431,13,22,22,12,11,927,956,276,110
Knox,"3,798",196,195,89,118,115,317,105,73,41
Larue,"1,550",67,59,38,23,15,664,154,204,99
Laurel,"7,920",280,280,254,220,201,606,133,57,47
Lawrence,"1,471",42,59,47,46,49,234,118,58,40
Lee,"1,139",59,62,57,40,30,90,54,19,9
Leslie,"1,901",72,72,64,42,61,46,18,9,7
Letcher,"1,021",37,53,30,8,27,925,319,190,77
Lewis,"2,294",73,74,63,149,54,110,20,49,10
Lincoln,"2,402",89,65,90,56,58,469,177,88,53
Livingston,"1,221",34,20,47,24,16,251,108,85,52
Logan,"2,176",65,52,64,44,19,727,293,165,128
Lyon,734,31,15,33,24,7,462,143,105,72
Madison,"5,747",191,182,170,182,44,"3,529",500,321,228
Magoffin,"1,286",59,55,59,21,58,764,831,151,79
Marion,409,10,28,15,7,6,988,249,252,119
Marshall,"3,119",95,45,145,47,20,826,247,228,137
Martin,"1,983",78,79,122,53,100,75,32,21,12
Mason,712,19,9,7,14,7,468,63,103,38
McCracken,"4,657",150,114,143,82,25,"2,650",404,426,260
McCreary,"1,997",91,74,59,59,57,91,43,28,26
McLean,725,27,26,10,7,11,364,70,86,62
Meade,"2,345",128,101,90,58,28,880,187,235,141
Menifee,337,15,5,13,7,6,461,194,139,59
Mercer,"1,870",43,38,37,55,15,955,139,146,104
Metcalfe,"1,298",53,44,63,44,25,564,216,142,97
Monroe,"2,776",170,116,127,114,38,68,17,7,6
Montgomery,"1,840",74,43,43,59,27,"1,263",244,262,135
Morgan,482,20,13,7,5,8,763,458,203,89
Muhlenberg,"1,668",73,66,43,30,21,"1,768",344,478,272
Nelson,"3,081",96,104,36,70,45,"2,101",350,411,265
Nicholas,272,11,13,7,7,2,613,127,160,74
Ohio,"3,118",166,151,107,83,34,609,133,146,114
Oldham,"7,727",337,301,143,280,156,"2,839",158,367,254
Owen,"1,278",42,33,29,34,17,368,102,191,68
Owsley,878,27,40,31,40,35,83,63,25,25
Pendleton,"1,453",38,27,33,46,18,256,69,216,42
Perry,"1,074",51,27,25,20,29,"1,265",495,373,186
Pike,"2,801",81,124,73,43,39,"2,626","1,230",552,320
Powell,"1,017",35,41,39,35,16,653,269,130,74
Pulaski,"10,913",479,454,315,352,242,"1,022",179,114,91
Robertson,150,3,3,1,4,4,191,60,138,32
Rockcastle,"2,955",119,146,91,76,89,158,39,14,14
Rowan,"1,225",60,56,30,30,27,"1,468",270,176,145
Russell,"3,762",169,158,187,120,41,204,49,48,27
Scott,"4,274",208,197,134,169,52,"3,154",264,231,245
Shelby,"3,762",115,134,46,63,60,"1,646",203,327,151
Simpson,"1,482",59,43,75,22,9,545,176,75,53
Spencer,"2,636",80,125,49,46,50,452,103,194,90
Taylor,"3,087",113,125,162,95,35,811,228,183,80
Todd,477,15,12,20,11,7,207,111,84,43
Trigg,"1,376",43,39,35,42,16,438,172,118,89
Trimble,576,16,13,11,15,3,419,156,310,106
Union,837,26,27,31,17,11,573,271,256,133
Warren,"7,402",282,241,130,112,41,"4,776",443,412,295
Washington,917,34,49,16,10,9,460,96,68,47
Wayne,"3,261",132,134,97,141,118,298,98,64,48
Webster,849,89,17,20,25,12,484,178,197,99
Whitley,"5,414",282,234,191,150,134,313,60,37,41
Wolfe,136,7,6,12,8,6,752,489,264,90
Woodford,"1,822",98,77,52,71,23,"2,329",162,316,186
