County,Beshear,Cameron,Fishback,Adams,Wheatley,Moellman,Coleman,Stevenson,Ball,Reeder,Metcalf,Bowman,Perry,Shell,Enlow
Adair,"1,688","3,597",0,"4,140",996,0,"4,116","1,021","4,234",915,"4,027","1,061",0,"4,164",958
Allen,"1,513","3,599",0,"4,060",985,0,"3,974","1,070","4,040",990,"3,904","1,104",0,"4,041",981
Anderson,"4,212","5,078",0,"6,570","2,569",3,"6,347","2,783","6,638","2,494","6,101","2,928",2,"6,491","2,608"
Ballard,963,"1,691",0,"1,968",656,0,"1,940",682,"1,987",623,"1,861",746,0,"1,959",661
Barren,"4,965","6,918",1,"8,262","3,302",3,"8,024","3,572","8,350","3,211","7,701","3,777",0,"8,390","3,181"
Bath,"1,913","1,515",0,"2,043","1,272",1,"1,972","1,319","2,012","1,256","1,832","1,429",2,"2,058","1,224"
Bell,"2,281","3,386",1,"4,096","1,236",0,"4,056","1,300","4,110","1,209","3,922","1,388",0,"4,059","1,223"
Boone,"17,575","22,399",4,"25,775","13,299",147,"25,380","14,013","26,369","12,834","25,665","13,429",18,"25,744","13,326"
Bourbon,"3,265","2,786",0,"3,831","2,122",0,"3,632","2,318","3,884","2,033","3,468","2,431",0,"3,759","2,157"
Boyd,"6,068","5,710",0,"6,776","4,802",0,"6,744","4,867","6,768","4,757","6,622","4,889",0,"6,855","4,666"
Boyle,"5,040","4,489",0,"5,941","3,442",1,"5,496","3,862","5,872","3,476","5,514","3,782",1,"5,627","3,710"
Bracken,939,"1,417",0,"1,645",660,1,"1,659",649,"1,680",636,"1,594",707,1,"1,655",652
Breathitt,"1,763","1,119",0,"1,584","1,171",0,"1,537","1,202","1,610","1,117","1,391","1,334",0,"1,560","1,166"
Breckinridge,"2,608","3,607",0,"4,372","1,725",0,"4,360","1,738","4,528","1,567","4,237","1,811",0,"4,436","1,630"
Bullitt,"10,723","14,235",0,"17,023","7,494",9,"17,031","7,551","17,211","7,176","16,520","7,829",7,"16,858","7,482"
Butler,"1,173","2,475",0,"2,875",712,0,"2,823",779,"2,888",705,"2,812",765,0,"2,895",704
Caldwell,"1,519","2,279",0,"2,737",982,0,"2,672","1,058","2,803",927,"2,607","1,097",0,"2,761",961
Calloway,"5,211","6,054",0,"7,419","3,672",1,"7,053","4,035","7,387","3,686","6,904","4,112",1,"7,306","3,750"
Campbell,"16,885","14,271",4,"17,060","13,454",13,"16,623","13,941","17,413","12,949","16,749","13,570",3,"16,826","13,385"
Carlisle,545,"1,252",0,"1,385",365,0,"1,378",392,"1,399",366,"1,310",439,0,"1,380",372
Carroll,"1,112","1,207",0,"1,450",814,0,"1,403",860,"1,464",785,"1,355",880,0,"1,442",808
Carter,"2,978","3,321",1,"4,042","2,137",1,"4,062","2,140","3,969","2,190","3,902","2,242",1,"4,131","2,029"
Casey,"1,129","3,200",0,"3,626",616,0,"3,610",652,"3,663",590,"3,556",675,0,"3,648",598
Christian,"5,135","6,893",2,"7,714","4,117",4,"7,386","4,429","7,552","4,218","7,356","4,422",4,"7,587","4,166"
Clark,"5,938","5,561",3,"7,382","3,940",2,"6,979","4,353","7,311","3,960","6,715","4,489",1,"7,182","4,067"
Clay,"1,441","2,603",0,"3,243",614,0,"3,187",657,"3,272",554,"3,119",681,0,"3,255",579
Clinton,607,"1,888",0,"2,110",338,0,"2,106",351,"2,126",324,"2,097",356,0,"2,151",316
Crittenden,858,"1,660",0,"1,959",512,0,"1,900",569,"2,000",468,"1,889",566,0,"1,965",494
Cumberland,503,"1,400",0,"1,546",302,0,"1,538",319,"1,545",302,"1,530",317,0,"1,553",296
