District,Beshear/Coleman,Cameron/Mills,Fishback/Fishback,Adams,Wheatley,Moellman,Coleman,Stevenson,Ball,Reeder,Metcalf,Bowman,Perry,Shell,Enlow
KY-01,"94,881","120,824",11,"145,171","66,283",29,"141,347","70,351","145,472","65,503","137,491","72,378",19,"143,906","66,641"
KY-02,"100,109","116,069",17,"139,790","72,078",106,"136,902","75,634","139,903","71,027","133,048","77,277",36,"137,772","73,168"
KY-03,"172,300","68,984",11,"96,064","140,769",38,"87,862","149,704","92,376","142,258","84,527","150,215",14,"87,567","146,188"
KY-04,"110,784","121,414",20,"143,837","83,872",294,"141,387","86,882","145,916","81,026","140,370","86,083",52,"142,995","83,273"
KY-05,"74,344","103,713",9,"126,306","46,912",11,"123,930","49,364","127,300","45,537","120,504","51,490",8,"126,229","46,188"
KY-06,"142,064","96,453",15,"134,069","100,176",40,"121,264","112,813","132,250","100,573","119,582","112,018",26,"124,999","107,063"
SD_01,"13,792","20,395",0,"24,089","9,490",5,"23,414","10,227","24,142","9,398","22,745","10,589",2,"24,037","9,432"
SD_02,"17,046","22,810",1,"27,427","11,753",9,"26,587","12,675","27,480","11,674","25,800","13,121",6,"26,998","12,031"
SD_03,"10,487","13,591",2,"15,675","7,911",4,"15,282","8,310","15,425","8,014","14,902","8,523",5,"15,600","7,833"
SD_04,"15,957","16,621",1,"20,124","11,689",1,"20,125","11,787","19,999","11,651","19,715","11,932",0,"20,501","11,208"
SD_05,"12,373","19,117",4,"22,718","8,175",4,"22,568","8,385","22,942","7,890","21,931","8,748",5,"22,870","7,927"
SD_06,"25,444","20,135",2,"25,673","19,080",49,"24,245","20,642","25,358","19,105","23,861","20,542",2,"24,448","19,852"
SD_07,"20,617","21,330",5,"26,890","14,279",36,"26,027","15,260","26,930","14,049","25,144","15,611",9,"26,281","14,581"
SD_08,"18,274","18,133",2,"21,685","13,859",7,"21,537","14,148","21,416","13,834","20,651","14,662",6,"21,907","13,417"
