County,Cameron,Quarles,Craft,Deters,Harmon,Keck,Cooper,Clark,Smith,DeVore,Rice,Ormerod,Beshear,Young,Martin,Adams,Knipper,Maricle,Ball,Petteys,Metcalf,Cooperrider,Oleka,Shell,Heath,Enlow,Malone
Adair,817,563,709,52,47,24,13,3,12,10,8,5,281,14,15,"1,407",308,123,"1,449",434,"1,004",577,224,967,852,154,127
Allen,"1,567",944,828,175,118,37,86,62,54,24,22,9,824,122,57,"2,286",824,292,"2,564",820,"1,676","1,233",402,"1,464","1,868",467,403
Anderson,"1,466",925,341,153,96,39,15,21,5,5,11,5,"1,517",127,89,"1,868",762,181,"2,041",723,"1,216",864,668,"1,686",982,792,781
Ballard,243,99,54,11,18,6,2,2,1,0,0,0,307,64,52,274,88,27,294,88,222,126,26,115,279,206,196
Barren,"1,188",860,"1,253",116,38,53,15,11,7,3,2,5,"1,264",118,81,"2,003",745,296,"2,216",784,"2,001",671,311,"1,764","1,287",583,731
Bath,229,157,59,35,13,7,4,6,3,2,0,2,644,113,40,301,120,44,299,145,257,126,79,208,252,276,392
Bell,717,323,353,120,35,58,14,7,13,6,12,7,425,22,26,715,333,325,"1,021",332,895,266,181,752,652,190,227
Boone,"4,832",850,"1,738","1,710",291,220,138,55,118,26,20,25,"2,594",84,73,"4,032","4,347",743,"5,791","3,038","3,487","3,829","1,649","5,186","3,281","1,701",839
Bourbon,464,516,147,80,26,20,6,6,2,5,5,4,890,80,45,804,274,83,778,336,566,294,288,723,423,421,505
Boyd,930,259,550,184,62,73,10,17,6,12,4,7,"1,223",63,44,"1,073",495,252,"1,278",555,"1,013",546,277,771,966,641,564
Boyle,846,540,272,79,376,48,3,8,2,2,4,3,"1,315",75,60,"1,457",407,113,"1,476",435,948,573,422,"1,264",685,934,383
Bracken,236,101,83,96,11,5,2,3,3,0,3,0,271,50,31,269,190,36,319,159,205,182,84,299,164,142,190
Breathitt,111,31,59,13,17,5,0,0,1,0,1,0,665,64,59,154,42,16,151,58,116,63,25,98,110,268,442
Breckinridge,952,364,314,114,21,12,8,30,4,6,2,1,544,32,27,927,521,170,"1,154",477,936,447,217,861,754,260,298
Bullitt,"3,878",742,784,355,116,107,33,39,14,25,13,17,"2,390",173,150,"2,695","1,391","1,443","3,707","1,645","3,031","1,379","1,005","2,972","2,429","1,406","1,150"
Butler,591,584,175,78,13,28,15,33,11,4,5,7,155,4,7,828,420,131,978,379,812,321,200,932,440,79,79
Caldwell,406,176,159,37,10,14,5,6,4,0,0,0,319,36,38,482,224,37,570,171,386,265,68,266,445,186,179
Calloway,"1,062",346,225,55,39,25,13,17,7,3,8,3,"1,124",63,68,"1,172",370,86,"1,266",345,779,482,301,474,"1,157",717,436
Campbell,"2,894",711,"1,449","1,040",161,173,108,27,19,15,10,20,"3,155",132,74,"2,882","2,505",512,"4,080","1,664","2,402","2,086","1,260","3,233","2,256","2,117",977
