District,Cameron,Quarles,Craft,Deters,Harmon,Keck,Cooper,Clark,Smith,DeVore,Rice,Ormerod,Beshear,Young,Martin,Adams,Knipper,Maricle,Ball,Petteys,Metcalf,Cooperrider,Oleka,Shell,Heath,Enlow,Malone
KY-01,"23,793","12,523","12,144","2,049","1,591",707,377,363,277,125,114,72,"26,437","2,268","1,695","33,635","11,091","3,041","35,960","11,343","24,052","16,111","6,503","21,791","25,521","15,902","11,793"
KY-02,"27,618","11,290","7,655","2,385",887,820,394,578,201,129,110,133,"23,453","1,549","1,150","27,471","13,189","5,247","32,228","12,936","25,200","11,687","8,155","25,651","19,510","13,427","10,781"
KY-03,"18,351","4,418","4,415","1,025",731,716,384,191,89,199,60,92,"46,684","1,025",877,"18,436","5,715","3,022","19,780","6,655","12,720","6,467","7,438","13,921","12,706","28,823","15,628"
KY-04,"27,460","8,804","9,043","6,809","1,378","1,040",648,320,302,156,108,121,"22,455","1,406",926,"26,684","19,792","3,966","33,581","15,357","21,037","18,211","9,929","28,812","18,857","13,282","9,314"
KY-05,"24,127","11,390","10,910","3,228","1,551","2,620",226,212,270,133,208,161,"16,764","1,472","1,130","30,843","11,197","6,348","35,122","12,816","29,778","10,338","7,921","27,553","20,622","8,135","9,225"
KY-06,"23,227","17,293","8,003","1,968","1,659","1,414",253,236,249,189,126,117,"40,796","2,145","1,135","34,322","10,007","4,147","34,090","13,482","22,664","14,559","11,624","30,442","17,152","23,663","15,737"
SD_01,"3,767","1,581","1,097",246,151,78,45,63,32,8,17,6,"3,396",339,289,"4,441","1,540",335,"4,750","1,502","3,100","2,187",796,"2,141","4,331","2,016","1,686"
SD_02,"4,408","1,530","1,439",252,141,83,35,33,31,16,12,9,"3,658",375,254,"5,392","1,438",376,"5,418","1,592","3,832","2,356",729,"1,949","5,321","2,280","1,650"
SD_03,"2,054","1,084",804,234,115,54,67,60,24,14,11,7,"3,104",315,227,"2,659","1,124",291,"2,905","1,130","1,959","1,498",535,"1,852","2,082","1,739","1,634"
SD_04,"2,882",860,"1,137",271,104,74,34,31,36,15,10,11,"4,254",418,328,"3,135","1,269",334,"3,413","1,253","2,593","1,550",516,"2,321","2,293","2,505","2,059"
SD_05,"5,108","2,467","1,302",541,132,122,105,217,59,28,21,21,"2,658",186,125,"5,468","2,558",929,"6,260","2,626","5,209","2,162","1,418","5,243","3,586","1,391","1,374"
SD_06,"6,305","1,465","1,115",329,155,216,69,47,24,39,14,18,"5,585",211,131,"5,415","2,658",591,"6,084","2,326","3,681","2,439","2,341","4,996","3,381","3,642","1,802"
SD_07,"5,800","2,622","1,218",502,242,150,60,73,28,22,23,18,"5,669",334,246,"6,268","2,559",735,"6,882","2,533","4,420","2,743","2,190","5,458","3,819","3,163","2,552"
SD_08,"3,976","1,606",904,271,150,99,74,71,35,13,26,26,"4,382",251,196,"3,538","2,135",585,"4,287","1,865","3,291","1,689","1,155","3,261","2,841","2,293","2,098"
SD_09,"3,401","2,392","2,078",371,139,125,36,52,24,12,14,20,"3,031",248,199,"4,823","1,955",727,"5,226","2,156","4,532","1,778","1,038","4,412","3,066","1,537","1,652"
SD_10,"4,103",772,662,433,95,77,44,80,24,19,14,22,"3,388",232,152,"3,421","1,686",562,"4,058","1,543","2,993","1,422","1,167","2,833","2,736","2,156","1,433"
SD_11,"3,952",670,"1,467","1,382",238,186,118,46,42,22,17,21,"2,298",65,63,"3,390","3,418",600,"4,846","2,354","2,952","2,953","1,377","4,221","2,695","1,504",734
SD_12,"4,206","3,476","1,435",294,666,321,38,57,15,28,19,20,"7,739",409,261,"6,680","1,977",682,"6,827","2,305","3,940","2,916","2,439","5,687","3,455","4,848","2,738"
SD_13,"1,685","1,453",727,121,92,184,27,14,3,15,12,8,"7,800",141,100,"2,863",658,265,"2,732",966,"1,589","1,027","1,151","2,022","1,514","5,139","2,110"
SD_14,"4,152","1,720",938,349,204,86,44,91,34,26,11,18,"4,006",377,274,"3,921","2,348",551,"4,695","1,936","3,364","2,090","1,214","3,767","2,821","2,540","1,755"
SD_15,"6,430","3,666","3,925",520,369,"1,637",58,50,52,24,25,35,"1,605",76,63,"10,129","3,067","1,461","11,080","3,417","8,445","3,625","2,399","8,374","6,114",913,642
SD_16,"4,991","3,557","4,396",466,283,184,146,96,90,48,44,23,"3,564",286,181,"8,435","2,712",948,"9,351","2,811","6,498","3,718","1,620","6,257","5,747","1,958","1,640"
SD_17,"3,774","3,284","1,189","1,146",249,182,79,48,43,22,23,17,"4,789",244,136,"5,134","3,022",739,"5,896","2,783","3,746","3,250","1,811","5,262","3,301","2,721","1,966"
SD_18,"3,111","1,496","1,588",616,176,139,59,48,39,35,31,29,"3,146",211,148,"3,970","1,729",744,"4,255","2,182","3,275","2,208",963,"3,063","3,124","1,440","1,738"
SD_19,"2,818",726,639,127,102,119,59,24,12,38,14,18,"9,924",204,184,"2,872",838,417,"3,010","1,012","1,894",975,"1,177","2,067","1,977","6,658","2,695"
SD_20,"3,562","1,945","1,037",937,208,150,57,50,101,17,13,6,"7,975",509,325,"4,062","2,837",496,"5,050","2,172","2,638","3,085","1,531","4,061","2,886","4,696","3,277"
SD_21,"5,997","3,181","2,360",552,480,368,37,34,63,19,31,31,"1,451",101,74,"7,915","2,685","1,220","8,514","3,126","7,524","2,423","1,805","7,884","4,116",781,681
SD_22,"4,668","2,676","1,586",310,394,299,45,42,29,36,16,24,"5,038",236,118,"6,031","2,121",777,"6,308","2,513","4,012","3,647","1,801","5,913","2,989","3,060","1,841"
SD_23,"3,601",788,"1,593","1,163",257,187,139,52,30,26,16,16,"4,063",118,95,"3,351","3,157",664,"4,851","1,956","2,807","2,403","1,640","3,949","2,636","2,555","1,176"
SD_24,"3,512","1,066","1,763","1,376",203,189,140,35,24,18,16,20,"3,927",238,145,"3,675","3,182",619,"5,105","2,172","3,093","2,735","1,454","4,215","2,780","2,542","1,432"
SD_25,"5,480","2,169","2,131",607,292,356,42,51,54,29,39,28,"1,008",62,37,"6,060","2,375","1,428","7,153","2,573","6,401","1,867","1,566","5,505","4,373",496,506
SD_26,"3,693",994,819,156,136,193,69,27,22,40,5,14,"8,545",140,170,"3,857","1,069",490,"4,081","1,173","2,480","1,146","1,657","2,823","2,436","5,712","2,337"
SD_27,"3,038","2,370",846,430,161,107,34,30,21,16,16,21,"5,704",532,274,"4,345","1,555",500,"4,332","1,889","2,973","1,933","1,418","3,794","2,438","3,011","2,937"
SD_28,"3,613","2,469","1,070",377,179,170,52,34,28,28,16,20,"6,592",528,275,"4,943","1,349",680,"4,756","2,053","3,467","1,797","1,625","4,037","2,686","3,124","3,090"
SD_29,"2,438",972,"1,299",469,183,144,39,28,43,14,46,29,"3,706",328,308,"2,875","1,159",893,"3,621","1,325","2,969","1,150",766,"2,783","2,183","1,731","2,131"
SD_30,"2,679","1,380","1,452",439,195,75,45,24,33,19,23,18,"3,881",459,312,"3,983","1,089",699,"3,959","1,680","3,525","1,228",918,"3,203","2,490","1,796","2,441"
SD_31,"2,437","1,158","1,512",629,167,84,30,31,55,24,43,20,"2,625",261,208,"3,550","1,247",692,"4,000","1,542","3,214","1,438",840,"2,878","2,503","1,216","1,615"
SD_32,"2,998","2,295","1,113",218,183,144,46,51,25,17,7,14,"3,322",213,176,"4,100","1,737",458,"4,671","1,556","3,026","2,138","1,035","3,679","2,543","2,046","1,375"
SD_33,803,157,265,110,37,22,35,22,3,19,2,7,"7,205",128,87,890,276,216,971,374,771,296,301,662,715,"3,538","3,305"
SD_34,"4,860","2,584","2,026",321,383,262,43,48,138,53,33,21,"7,043",418,205,"7,078","1,750",905,"6,861","2,713","5,224","2,336","2,181","6,850","2,965","4,060","2,750"
SD_35,"1,237",247,349,120,89,41,42,22,15,28,6,12,"4,989",131,82,"1,178",494,322,"1,337",621,974,557,438,965,"1,006","2,961","1,893"
SD_36,"6,049","1,504","1,251",192,178,227,71,36,22,22,12,18,"6,574",149,119,"5,908","1,780",664,"6,239","1,866","3,593","2,033","2,486","4,395","3,705","4,259","1,942"
SD_37,"2,068",387,609,177,100,41,65,25,15,25,11,12,"5,212",171,165,"1,976",743,477,"2,180",947,"1,650",818,703,"1,635","1,554","2,981","2,154"
SD_38,"4,920",949,"1,029",410,169,142,54,57,20,37,17,18,"3,733",221,181,"3,660","1,695","1,699","4,797","2,046","3,797","1,757","1,369","3,753","3,160","2,224","1,637"
HD_01,"1,482",552,496,70,61,30,15,15,11,1,4,4,"1,349",183,145,"1,737",631,117,"1,826",581,"1,289",873,223,687,"1,829",806,764
HD_02,"1,599",513,496,67,60,26,16,21,9,1,2,2,"1,065",154,111,"1,828",544,102,"1,825",627,"1,273",850,244,807,"1,906",641,560
HD_03,"1,301",497,506,78,41,30,7,10,12,12,7,3,"1,274",78,56,"1,771",366,104,"1,709",449,"1,209",659,254,551,"1,674",836,440
HD_04,"1,282",280,504,128,51,38,13,11,17,9,3,8,"1,507",141,110,"1,443",452,135,"1,467",534,"1,138",650,216,937,"1,009",925,668
HD_05,"1,310",509,322,78,56,31,19,18,12,4,9,5,"1,342",78,85,"1,530",483,120,"1,628",482,"1,027",649,379,673,"1,443",858,532
HD_06,"1,891",633,500,144,55,27,18,18,14,5,4,0,"1,576",185,121,"2,155",634,195,"2,243",696,"1,543","1,088",281,914,"2,089",896,823
HD_07,"1,390",543,343,120,65,43,22,24,9,5,8,7,"1,765",94,65,"1,304",698,221,"1,535",642,"1,154",597,440,"1,125","1,052",913,851
HD_08,983,670,406,94,55,29,16,22,9,2,5,2,"1,263",112,108,"1,422",544,124,"1,552",528,962,830,255,843,"1,177",747,657
HD_09,389,350,211,39,30,14,15,9,3,5,2,1,656,49,36,667,270,44,717,251,396,396,170,486,458,428,265
