County,Trump,Harris,Kennedy,Stein,Oliver,Ayyadurai,Write-in,Amdt1yes,Amdt1no,Amdt2yes,Amdt2no
Adair,"7,643","1,257",48,13,7,3,3,"5,341","2,609","3,181","5,258"
Allen,"7,824","1,505",57,14,16,2,0,"6,388","2,382","4,001","5,158"
Anderson,"9,650","3,226",125,39,45,5,5,"8,118","4,187","5,058","7,734"
Ballard,"3,331",697,36,17,7,0,0,"2,561","1,197","1,186","2,695"
Barren,"15,019","4,565",136,31,39,9,3,"11,643","6,729","6,259","12,819"
Bath,"4,041","1,278",49,9,10,2,0,"2,984","2,014","1,763","3,429"
Bell,"7,831","1,419",54,17,11,5,3,"5,200","3,010","3,225","5,373"
Boone,"45,650","20,601",532,226,331,42,39,"44,071","20,702","25,803","40,253"
Bourbon,"6,284","3,088",99,31,33,0,2,"5,455","3,555","3,294","5,962"
Boyd,"14,363","6,291",180,51,54,12,0,"12,823","6,776","6,835","13,569"
Boyle,"9,159","4,990",121,41,51,9,2,"8,304","5,325","4,493","9,689"
Bracken,"3,399",702,22,8,8,7,7,"2,757","1,195","1,095","2,985"
Breathitt,"4,036","1,002",40,17,12,6,0,"3,028","1,593","1,895","2,978"
Breckinridge,"7,882","2,038",82,26,16,2,2,"6,444","2,927","3,823","5,923"
Bullitt,"32,299","10,280",375,98,114,21,22,"27,553","13,334","17,340","24,719"
Butler,"4,905",965,42,11,19,0,1,"3,530","1,965","1,762","3,919"
Caldwell,"4,860","1,256",40,9,20,3,0,"3,816","1,930","1,898","4,064"
Calloway,"11,539","5,111",165,59,54,8,9,"10,172","5,585","5,375","11,086"
Campbell,"28,450","18,952",431,212,232,25,32,"28,299","17,656","17,720","29,560"
Carlisle,"2,182",408,14,1,4,1,0,"1,651",798,948,"1,572"
Carroll,"3,014",963,29,8,11,0,0,"2,469","1,359","1,501","2,426"
Carter,"8,981","2,305",81,22,27,4,2,"6,628","3,637","3,570","7,220"
Casey,"6,216",804,40,6,12,2,0,"4,633","1,967","2,472","4,385"
Christian,"14,332","7,055",159,56,58,11,0,"13,708","6,236","9,146","11,366"
Clark,"11,950","5,639",165,60,51,3,17,"10,335","6,362","6,367","10,862"
Clay,"6,729",692,67,6,13,10,0,"4,274","2,399","2,370","4,630"
Clinton,"4,276",549,39,5,11,0,0,"2,969","1,475","1,629","2,983"
Crittenden,"3,349",608,29,15,6,1,2,"2,465","1,274","1,199","2,621"
Cumberland,"2,922",483,23,3,6,2,3,"1,956",930,"1,259","1,868"
Daviess,"30,705","15,673",404,133,130,22,30,"27,856","16,279","17,595","28,185"
Edmonson,"5,048","1,118",57,6,14,4,0,"3,682","2,138","1,803","4,216"
Elliott,"2,335",532,23,9,8,4,0,"1,641",965,963,"1,769"
Estill,"5,091","1,114",55,8,18,3,1,"3,948","1,958","2,218","3,925"
