County,Trump,Haley,Uncommitted_R,DeSantis,Christie,Ramaswamy,Binkley,Biden,Uncommitted_D,Williamson,Phillips
Adair,"1,539",40,30,29,12,2,10,194,41,11,27
Allen,"1,252",63,37,29,19,9,8,158,40,23,18
Anderson,"2,922",149,136,116,25,23,15,"1,005",472,153,134
Ballard,293,9,4,6,2,0,1,143,166,32,46
Barren,"1,953",80,59,61,19,9,11,732,214,80,102
Bath,277,7,1,11,1,0,2,221,150,52,49
Bell,"2,151",55,58,43,15,4,6,266,143,27,35
Boone,"9,531",871,470,536,120,118,31,"1,832",346,188,83
Bourbon,728,73,45,37,13,7,5,549,201,68,47
Boyd,"2,071",130,115,64,23,13,0,"1,322",431,93,70
Boyle,"1,255",128,91,24,15,10,5,723,193,42,58
Bracken,437,9,14,15,3,6,1,133,93,50,37
Breathitt,173,9,1,11,2,1,0,197,234,56,66
Breckinridge,"1,679",72,50,33,20,6,5,326,96,45,43
Bullitt,"4,004",187,130,120,28,21,14,"1,146",380,162,99
Butler,"1,002",57,59,18,15,4,3,115,15,12,5
Caldwell,647,34,13,19,4,5,2,225,113,35,32
Calloway,"1,451",156,74,58,20,7,0,701,235,69,64
Campbell,"4,325",530,236,182,62,72,14,"1,998",397,168,95
Carlisle,252,4,3,3,0,0,0,96,86,10,18
Carroll,392,13,3,14,3,1,0,238,149,48,41
Carter,"1,479",36,40,37,12,6,2,405,219,79,73
Casey,"1,285",23,28,25,10,3,3,86,17,12,11
Christian,"1,462",100,48,55,20,9,7,985,286,118,94
Clark,"1,286",91,48,53,8,7,7,865,241,88,57
Clay,"2,410",89,75,40,12,8,5,68,45,6,12
Clinton,851,27,8,11,7,1,1,50,6,10,7
Crittenden,746,30,22,14,3,6,4,109,46,13,15
Cumberland,443,22,14,11,10,1,2,35,9,3,2
Daviess,"3,553",479,220,162,56,30,24,"3,194",788,227,180
Edmonson,"1,684",66,62,41,18,6,2,166,53,12,16
Elliott,143,2,1,2,1,1,0,98,88,13,25
Estill,"1,347",45,32,28,4,5,1,162,75,15,32
Fayette,"7,697","1,699",758,521,201,141,76,"17,164","2,369",973,403
Fleming,847,31,17,23,6,6,4,280,124,40,56
Floyd,"1,105",18,15,22,3,2,3,692,708,139,252
Franklin,"2,636",309,159,124,40,28,20,"5,344","1,844",516,405
Fulton,227,12,3,6,0,2,0,116,95,24,15
Gallatin,353,14,7,8,2,5,1,116,67,29,13
Garrard,"1,313",63,40,44,18,4,2,218,48,24,7
Grant,"1,677",57,44,56,7,13,1,273,121,36,31
Graves,"2,607",98,68,78,6,9,7,514,463,90,120
Grayson,"1,839",113,49,57,21,8,8,290,63,36,20
Green,"1,136",30,21,26,11,3,6,106,26,12,11
Greenup,"2,760",121,114,82,26,27,5,969,393,89,94
Hancock,474,22,11,15,3,2,3,232,57,27,16
Hardin,"4,071",292,170,147,40,39,16,"2,279",457,212,174
Harlan,"2,029",35,35,23,6,4,4,217,135,27,53
Harrison,755,46,24,36,9,6,2,466,179,64,70
Hart,"1,157",33,31,24,3,7,3,361,151,62,59
Henderson,"1,199",93,29,38,9,11,7,"1,183",444,104,115
Henry,"1,421",59,49,51,11,5,8,337,225,73,70
Hickman,329,9,10,9,1,0,3,73,62,11,11
Hopkins,"1,731",96,56,54,16,12,3,982,513,149,152
Jackson,"1,617",60,36,30,12,3,6,35,8,7,5
Jefferson,"20,191","2,775","1,221",958,427,205,147,"45,500","5,972","2,637","1,306"
Jessamine,"2,399",281,121,132,32,33,15,"1,025",224,88,57
Johnson,"1,833",50,27,35,11,5,7,169,86,28,29
Kenton,"7,579",880,402,360,129,107,26,"3,174",619,232,110
Knott,698,9,11,11,1,3,0,448,589,97,164
Knox,"3,423",114,93,52,37,18,8,231,89,38,41
Larue,972,37,24,29,4,6,8,210,125,41,37
Laurel,"4,721",190,90,127,35,23,17,360,89,38,42
Lawrence,843,19,27,12,7,0,1,181,60,17,22
Lee,526,9,14,8,3,0,2,55,21,9,8
Leslie,"1,014",43,21,20,5,4,3,31,14,2,3
Letcher,879,15,20,10,6,5,3,328,237,39,78
Lewis,"1,122",45,30,24,5,7,4,64,28,6,9
Lincoln,"1,686",81,69,50,11,9,4,286,124,35,37
Livingston,659,22,10,16,2,0,4,178,100,27,27
Logan,"1,085",56,37,36,7,6,5,448,171,41,52
Lyon,580,23,23,19,3,2,0,236,117,28,26
Madison,"3,626",281,139,155,29,25,12,"2,096",456,142,96
Magoffin,603,14,4,2,1,1,3,218,87,32,56
Marion,561,17,17,15,2,3,2,864,664,146,185
Marshall,"1,364",78,38,40,7,7,7,484,215,65,71
Martin,790,16,4,8,2,4,4,45,12,9,4
Mason,679,40,28,16,5,5,2,336,170,51,45
McCracken,"3,864",367,180,171,33,31,5,"2,089",660,178,148
McCreary,940,14,11,8,6,2,2,55,26,8,4
McLean,383,13,13,15,3,2,1,174,70,20,22
Meade,"1,509",58,46,37,4,8,6,541,207,82,81
Menifee,225,3,2,7,1,1,0,125,95,19,27
Mercer,"1,223",66,49,36,11,3,7,477,257,44,59
Metcalfe,579,20,9,17,5,1,4,144,56,26,35
Monroe,949,24,16,11,7,1,2,43,6,4,4
Montgomery,"1,202",59,30,38,5,9,3,677,265,96,67
Morgan,322,6,4,2,1,0,0,156,140,31,67
Muhlenberg,"1,060",29,26,25,5,0,2,741,329,90,98
Nelson,"3,011",193,111,114,26,22,11,"1,310",420,163,128
Nicholas,197,7,4,3,0,1,1,181,142,37,31
Ohio,"1,663",90,59,58,22,8,5,379,109,49,38
Oldham,"3,714",573,224,186,66,41,23,"1,787",256,124,73
Owen,893,25,31,29,5,4,2,193,145,40,46
Owsley,329,6,10,4,3,0,1,19,16,4,10
Pendleton,741,26,15,24,8,2,1,152,77,19,23
Perry,864,20,17,18,7,6,3,341,232,70,75
Pike,"2,081",40,29,38,8,4,4,668,536,96,203
Powell,942,27,29,25,8,1,0,297,177,45,48
Pulaski,"4,936",217,170,124,52,14,18,516,114,55,31
Robertson,105,1,1,5,1,1,0,40,49,7,25
Rockcastle,"1,413",41,30,33,10,7,7,78,15,12,8
Rowan,642,33,27,22,2,3,3,608,175,60,49
Russell,"2,221",88,71,26,27,8,7,135,39,16,25
Scott,"4,168",435,305,240,60,59,14,"2,510",600,224,181
Shelby,"4,324",345,263,269,46,38,25,"1,282",402,152,154
Simpson,771,54,28,30,7,8,2,294,61,21,24
Spencer,"1,342",63,57,58,10,8,5,251,82,39,34
Taylor,"1,248",50,27,20,12,3,4,300,79,21,21
Todd,280,11,4,9,2,0,3,102,59,16,25
Trigg,905,40,29,25,6,1,3,289,91,30,26
Trimble,532,13,9,15,2,3,3,164,113,38,58
Union,947,34,42,19,4,3,1,291,311,67,69
Warren,"6,252",624,325,345,102,73,27,"3,460",799,305,177
Washington,663,40,16,16,7,1,3,290,78,40,33
Wayne,"1,506",54,34,28,8,7,8,168,50,17,16
Webster,410,15,12,9,4,3,2,201,103,26,20
Whitley,"2,290",80,69,39,21,13,9,179,30,22,11
Wolfe,90,3,2,6,0,0,0,125,140,22,29
Woodford,"1,472",234,105,82,40,24,10,"1,860",408,143,91
