District,Trump,Haley,Uncommitted_R,DeSantis,Christie,Ramaswamy,Binkley,Biden,Uncommitted_D,Williamson,Phillips
KY-01,"37,797","2,209","1,278","1,096",331,201,139,"18,216","7,540","2,045","2,023"
KY-02,"37,699","2,618","1,481","1,376",419,260,156,"16,462","4,343","1,629","1,271"
KY-03,"18,215","2,533","1,146",847,394,185,139,"44,179","5,806","2,569","1,274"
KY-04,"44,694","3,835","2,089","2,031",537,484,161,"14,512","4,116","1,537","1,192"
KY-05,"45,776","1,515","1,159",942,321,170,135,"8,816","5,079","1,239","1,631"
KY-06,"30,863","3,522","1,831","1,511",459,340,170,"29,264","6,024","2,171","1,353"

SD_01,"6,845",368,229,209,39,27,17,"2,038","1,109",265,277
SD_02,"6,432",480,235,236,44,38,17,"2,990","1,227",312,310
SD_03,"3,169",163,87,99,29,14,11,"1,951",728,243,224
SD_04,"4,287",238,139,120,33,29,13,"2,657","1,371",346,356
SD_05,"7,692",390,263,203,82,34,27,"1,651",490,224,187
SD_06,"5,414",806,319,253,108,57,36,"4,637",590,278,179
SD_07,"10,335",697,534,521,117,79,56,"3,861","1,297",448,403
SD_08,"4,410",514,244,192,62,34,28,"3,600",915,274,218
SD_09,"6,952",288,217,192,67,36,28,"2,086",620,235,231
SD_10,"4,168",301,173,148,40,39,16,"2,317",477,219,178
SD_11,"8,037",775,412,461,104,110,28,"1,631",305,165,74
SD_12,"6,322",919,477,301,119,77,39,"5,505","1,263",364,277
SD_13,"1,650",467,189,113,58,34,16,"6,822",960,355,132
SD_14,"6,549",350,225,232,49,40,29,"2,925","1,369",429,417
SD_15,"9,957",408,297,200,104,31,36,904,218,101,81
SD_16,"7,593",406,225,219,85,35,34,"1,926",475,172,154
SD_17,"8,046",688,452,403,92,89,21,"3,785",882,357,253
SD_18,"7,432",332,299,207,66,53,11,"2,760","1,071",267,246
SD_19,"2,646",465,215,145,79,27,18,"10,362","1,520",519,253
SD_20,"6,331",487,274,279,69,56,26,"6,212","2,275",673,521
SD_21,"9,105",335,217,235,66,42,31,810,245,97,98
SD_22,"4,955",609,287,273,73,69,33,"3,730",631,268,135
SD_23,"5,045",695,306,250,110,81,25,"2,519",471,165,78
SD_24,"5,536",575,268,222,73,81,16,"2,417",584,242,156
SD_25,"11,009",363,294,173,91,44,31,587,214,85,83
SD_26,"2,959",608,227,163,79,35,28,"7,573",942,370,181
SD_27,"4,298",281,180,161,43,37,24,"3,623","1,157",393,348
SD_28,"3,874",305,159,153,33,29,21,"3,954","1,002",379,248
SD_29,"6,862",132,139,109,31,18,16,"1,951","1,812",329,582
SD_30,"5,881",176,124,120,31,18,12,"1,582","1,120",282,384
SD_31,"5,690",127,88,95,29,14,16,"1,161",782,163,283
