County,Barr,Cameron,Faris,Washington,Fredrick,Catlett,Duncan,Holliday,Shelley,Wenzel,Leon,Booker,McGrath,Stevenson,Romans,Forsythe,Thompson,Blanton
Adair,"2,757","1,271",47,62,21,24,32,27,22,16,6,183,266,37,22,18,11,15
Allen,"1,906","1,084",51,43,31,28,25,28,6,9,8,194,272,20,9,19,41,18
Anderson,"2,625",912,51,51,37,37,31,22,26,9,7,764,796,259,123,92,48,53
Ballard,578,247,13,14,3,8,7,4,3,7,1,208,300,65,27,32,32,43
Barren,"3,168","1,670",132,43,56,31,54,27,24,7,11,868,"1,041",110,54,89,46,47
Bath,728,183,25,13,5,4,5,6,7,2,3,437,704,103,84,68,86,47
Bell,"3,071",982,33,123,39,21,35,29,16,6,7,227,338,30,13,43,60,38
Boone,"10,434","5,772","1,376",317,270,251,99,109,157,29,31,"2,109","2,620",308,108,152,81,63
Bourbon,"1,534",398,24,28,35,16,8,10,16,5,5,584,755,174,132,77,33,24
Boyd,"2,244","1,553",85,86,80,35,58,46,20,5,7,903,"1,149",80,43,90,124,204
Boyle,"1,890",842,53,29,29,30,26,30,10,7,3,"1,049",706,121,101,71,26,63
Bracken,629,337,61,20,15,6,3,9,23,4,1,167,321,38,22,22,42,22
Breathitt,274,153,8,10,6,3,3,7,0,0,0,699,"1,098",227,90,119,271,221
Breckinridge,"2,044","1,446",130,66,37,46,60,35,26,4,8,296,519,55,64,42,21,24
Bullitt,"4,624","3,109",184,88,76,69,51,43,35,10,13,"1,402","1,779",177,303,146,123,81
Butler,"1,534",702,339,51,34,39,27,21,17,4,7,95,136,16,6,18,13,5
Caldwell,"1,155",418,23,18,12,9,20,15,4,13,3,251,305,45,17,97,22,31
Calloway,"1,868",848,34,23,46,20,32,17,0,9,5,692,867,110,37,85,35,63
Campbell,"6,679","3,641",467,250,198,157,101,61,151,24,16,"2,649","3,018",259,85,157,77,75
Carlisle,429,313,16,6,2,4,8,2,1,0,0,83,163,21,6,26,22,22
Carroll,453,367,22,29,11,11,7,7,5,2,1,231,287,36,54,24,17,15
Carter,"1,246",495,34,38,19,9,24,27,20,1,3,347,447,52,31,40,59,30
Casey,"2,608","1,274",49,71,39,23,18,30,7,11,9,111,104,17,5,28,4,7
Christian,"2,738","1,058",55,80,51,39,84,34,18,21,6,"1,287",882,281,41,91,101,192
Clark,"3,022",786,57,34,39,40,22,12,22,6,8,"1,283","1,089",315,163,67,48,63
Clay,"2,723",997,37,68,28,16,21,36,9,7,11,78,75,4,4,8,10,2
Clinton,"2,009",516,37,74,31,27,43,33,25,15,10,38,55,9,2,3,4,6
Crittenden,"1,223",367,71,27,13,9,70,10,5,5,1,79,151,27,3,21,6,21
Cumberland,"1,240",507,40,51,19,19,41,37,11,14,7,25,48,7,0,6,0,3
Daviess,"4,330","2,625",308,83,113,100,75,43,33,22,15,"2,596","3,176",321,112,231,157,108
Edmonson,"1,051",308,22,16,14,13,6,5,3,1,0,119,157,11,9,11,7,7
Elliott,159,36,4,7,2,0,0,3,4,1,1,94,164,12,15,22,26,16
Estill,"1,897",395,48,25,18,20,13,8,7,4,6,219,237,56,24,23,14,10
Fayette,"12,299","3,799",253,188,268,351,151,159,102,40,51,"21,347","9,504","2,923","1,276",860,211,211
Fleming,"1,537",474,29,18,10,7,19,3,93,3,1,254,457,112,73,42,37,33
Floyd,"1,188",735,21,48,19,6,12,24,10,6,4,"1,121","1,645",184,158,122,297,211
Franklin,"2,548","1,114",82,48,46,69,30,46,10,18,7,"3,981","2,879",523,427,281,135,268
Fulton,231,53,1,2,2,0,5,4,0,0,0,188,252,43,18,23,14,41
Gallatin,551,343,46,34,11,6,5,5,12,0,0,115,169,21,23,18,12,16
Garrard,"1,818",498,31,22,19,19,16,13,9,1,3,268,243,41,15,16,7,10
Grant,"1,896","1,082",120,64,28,32,17,28,34,3,8,332,457,48,32,36,29,27
Graves,"2,611","1,214",53,38,27,11,16,29,8,11,5,620,838,85,57,86,77,91
Grayson,"2,154","1,866",254,83,42,48,58,34,26,9,9,265,470,48,48,42,23,22
Green,"1,356","1,027",62,27,22,23,26,20,10,2,4,110,172,10,12,20,11,7
Greenup,"2,302","1,341",59,80,55,25,23,16,46,7,10,586,794,60,35,59,71,62
Hancock,808,374,63,28,11,17,23,9,8,7,2,231,479,32,47,52,33,17
Hardin,"3,497","4,098",505,70,83,148,79,52,27,11,15,"2,769","2,525",527,261,211,163,105
Harlan,"2,837","1,189",66,95,34,23,28,38,10,12,4,240,265,24,26,44,61,56
