District,Barr,Cameron,Faris,Washington,Fredrick,Catlett,Duncan,Holliday,Shelley,Wenzel,Leon,Booker,McGrath,Stevenson,Romans,Forsythe,Thompson,Blanton
KY-01,"55,397","24,211","1,553","1,287",850,727,976,747,293,308,155,"17,740","19,230","2,667","1,601","2,077","1,375","1,979"
KY-02,"41,234","27,298","3,106",924,790,850,683,434,352,130,135,"17,101","18,397","2,254","1,626","1,621","1,003",739
KY-03,"20,651","13,754",544,421,549,791,249,493,153,111,91,"55,809","25,863","5,692","4,509","1,252",716,838
KY-04,"53,507","35,658","3,735","1,890","1,300","1,146",643,565,"1,133",196,153,"17,987","19,546","2,117","1,749","1,273",810,750
KY-05,"66,422","29,096","1,148","2,006","1,033",517,720,"1,056",390,150,195,"11,758","14,653","1,743","1,121","1,539","2,243","1,905"
KY-06,"46,622","14,575","1,133",662,745,861,502,462,450,119,135,"35,182","21,607","6,137","3,090","1,886",815,737
SD_01,"8,474","3,472",207,140,144,84,192,88,25,32,15,"1,996","2,746",353,152,417,186,295
SD_02,"8,774","3,560",173,132,89,101,112,80,28,37,15,"2,860","3,047",468,137,420,178,283
SD_03,"5,270","2,182",250,130,79,64,116,66,31,38,12,"2,440","2,168",432,122,342,217,289
SD_04,"5,365","2,393",138,130,110,86,108,60,30,30,19,"2,676","3,652",359,215,298,286,329
SD_05,"9,446","6,171","1,054",338,181,202,210,127,120,35,33,"1,430","2,333",247,245,233,133,97
SD_06,"6,879","7,581",214,227,236,213,76,100,96,28,20,"5,862","4,210",521,660,226,79,103
SD_07,"8,846","6,397",287,232,155,155,89,100,113,22,24,"4,401","3,528",643,662,269,142,173
SD_08,"5,674","3,229",387,126,128,121,102,53,46,30,17,"3,001","3,953",380,174,308,207,139
SD_09,"7,258","3,920",419,122,120,103,108,66,52,12,21,"2,083","2,260",236,129,208,123,93
SD_10,"3,574","4,137",509,73,83,149,80,53,28,11,16,"2,825","2,559",531,269,214,164,106
SD_11,"8,791","4,785",933,276,248,223,86,86,135,24,24,"1,824","2,296",265,90,129,67,58
SD_12,"8,336","3,035",180,118,120,181,104,107,50,21,17,"6,093","4,120","1,098",732,417,140,159
SD_13,"3,293","1,028",66,56,72,102,33,41,29,11,14,"8,404","3,552","1,015",546,300,73,67
SD_14,"6,663","6,018",393,180,135,117,100,90,98,30,23,"3,446","4,202",448,709,279,366,267
SD_15,"16,758","7,527",271,486,254,168,223,230,97,59,53,"1,102","1,125",138,70,116,86,63
SD_16,"12,000","5,624",275,315,167,154,174,177,85,64,36,"2,099","2,471",238,153,159,157,157
SD_17,"8,540","4,008",419,235,163,179,121,124,162,20,26,"4,109","3,183",712,323,254,123,118
SD_18,"7,329","4,107",306,302,199,83,128,98,130,18,30,"1,905","2,494",207,115,192,258,299
SD_19,"3,113","2,240",81,79,98,149,37,74,28,21,11,"12,049","5,561",871,"1,140",298,138,174
SD_20,"6,939","3,942",720,214,130,137,73,97,84,29,24,"5,038","4,123",683,588,411,196,332
SD_21,"14,528","6,596",266,306,191,138,114,220,62,49,49,"1,168","1,155",134,85,142,103,64
SD_22,"7,684","2,551",170,109,127,141,99,75,63,22,25,"4,718","2,882",797,319,249,84,90
SD_23,"7,399","3,956",412,250,172,246,131,81,210,39,25,"3,194","3,508",340,117,186,89,70
SD_24,"8,858","4,672",648,340,249,179,113,87,213,61,20,"3,105","3,756",339,131,213,141,114
SD_25,"15,163","6,243",182,477,202,93,143,216,97,22,42,713,805,84,48,73,99,49
SD_26,"3,847","2,826",82,78,99,193,42,95,31,23,16,"9,543","5,119",683,919,217,108,98
SD_27,"7,545","2,599",196,146,114,94,75,49,172,23,12,"4,879","4,326",848,497,445,280,259
SD_28,"8,037","2,220",217,107,101,106,66,58,55,12,19,"5,292","3,995","1,057",520,305,265,205
